节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
新东方汽车配件城北,姑苏区,8路,0,0,1
机电五金城南,姑苏区,8路,1,0,1
钱万里桥新市场北,姑苏区,8路,0,0,0
机电五金城,姑苏区,8路,0,0,0
新东方汽车配件城南,姑苏区,8路,0,0,0
圩北港桥,姑苏区,8路,0,0,0
圩南港桥,姑苏区,8路,0,0,0
联城桥东,姑苏区,8路,0,0,0
旺巷桥,姑苏区,8路,0,0,0
美地花园,姑苏区,8路,0,0,0
汇翠花园,姑苏区,8路,0,0,0
草桥中学,姑苏区,8路,0,0,0
江星桥,姑苏区,8路,0,0,0
大观名园,姑苏区,8路,0,0,0
平川路江星路东,姑苏区,8路,0,0,0
苏州平江医院,姑苏区,8路,0,0,0
和合街,姑苏区,8路,0,0,0
北广场汽车客运站,姑苏区,8路,0,0,0
苏州站北广场,姑苏区,8路,0,0,0
平门,姑苏区,8路,4,1,7
北寺塔,姑苏区,8路,4,1,14
接驾桥,姑苏区,8路,8,1,17
察院场观前街西,姑苏区,8路,10,1,19
乐桥北,姑苏区,8路,10,4,19
饮马桥东,姑苏区,8路,6,3,11
平直实小东,姑苏区,8路,8,2,15
苏大附一院十梓街院区西,姑苏区,8路,10,3,18
双塔2,姑苏区,8路,8,5,25
市一中,姑苏区,8路,4,0,10
乐桥北,姑苏区,8路,10,4,19
察院场观前街西,姑苏区,8路,10,1,19
接驾桥,姑苏区,8路,8,1,17
北寺塔,姑苏区,8路,4,1,14
平门,姑苏区,8路,4,1,7
苏州站北广场,姑苏区,8路,0,0,0
北广场汽车客运站,姑苏区,8路,0,0,0
和合街,姑苏区,8路,0,0,0
苏州平江医院,姑苏区,8路,0,0,0
平川路江星路东,姑苏区,8路,0,0,0
大观名园,姑苏区,8路,0,0,0
江星桥,姑苏区,8路,0,0,0
草桥中学,姑苏区,8路,0,0,0
汇翠花园,姑苏区,8路,0,0,0
美地花园,姑苏区,8路,0,0,0
旺巷桥,姑苏区,8路,0,0,0
联城桥东,姑苏区,8路,0,0,0
圩南港桥,姑苏区,8路,0,0,0
圩北港桥,姑苏区,8路,0,0,0
新东方汽车配件城南,姑苏区,8路,0,0,0
机电五金城,姑苏区,8路,0,0,0
钱万里桥新市场北,姑苏区,8路,0,0,0
机电五金城南,姑苏区,8路,0,0,0
新东方汽配城北,姑苏区,8路,0,0,0
金筑实验小学校,姑苏区,8路,0,0,0
,,,,,
官渎里立交换乘枢纽站,虎丘区,9路,0,0,1
苏安新村2,姑苏区,9路,1,0,3
向阳桥南,姑苏区,9路,1,0,5
东港新村,姑苏区,9路,0,0,2
现代大道西,姑苏区,9路,0,0,0
相门新村,姑苏区,9路,0,0,0
苏大北校区东,姑苏区,9路,0,0,1
苏大理想眼科医院,姑苏区,9路,2,0,4
相门,姑苏区,9路,4,0,10
市一中,姑苏区,9路,4,0,10
乐桥,姑苏区,9路,3,0,13
养育巷,姑苏区,9路,7,1,15
学士街,姑苏区,9路,7,3,20
阊胥路,姑苏区,9路,1,0,2
烽火路北,姑苏区,9路,0,0,0
彩香新村北,姑苏区,9路,0,0,0
开放大学,姑苏区,9路,0,0,0
虹桥站,姑苏区,9路,0,0,0
馨连桥,姑苏区,9路,0,0,0
三元新村,姑苏区,9路,0,0,0
来凤桥,姑苏区,9路,1,1,3
闻钟苑,姑苏区,9路,1,1,3
新庄新村北,姑苏区,9路,0,0,1
新庄立交,姑苏区,9路,0,0,0
新庄立交换乘枢纽站,姑苏区,9路,0,0,0
,,,,,
南环桥,姑苏区,10路(东线),0,0,0
杨枝塘东,姑苏区,10路(东线),0,0,0
东振路西,姑苏区,10路(东线),0,0,0
金鸡湖大道西,姑苏区,10路(东线),0,0,0
葑门换乘站东,姑苏区,10路(东线),0,0,0
苏大东校区2,姑苏区,10路(东线),0,0,0
苏大东校区,姑苏区,10路(东线),0,0,0
徐家浜,姑苏区,10路(东线),0,0,0
相门新村,姑苏区,10路(东线),0,0,0
现代大道西,姑苏区,10路(东线),0,0,0
东港新村2,姑苏区,10路(东线),0,0,0
向阳桥南,姑苏区,10路(东线),0,0,5
苏安新村,姑苏区,10路(东线),0,0,3
官读里立交桥,姑苏区,10路(东线),1,0,1
齐门北,姑苏区,10路(东线),2,2,2
苏州旅游集散中心,姑苏区,10路(东线),1,1,5
苏州站北广场,姑苏区,10路(东线),0,0,2
北广场汽车客运站,姑苏区,10路(东线),0,0,2
新天地家园,姑苏区,10路(东线),0,0,0
塔影河桥,姑苏区,10路(东线),0,0,1
苏州市康复医院,姑苏区,10路(东线),1,1,2
钱万里桥北,姑苏区,10路(东线),1,0,2
清塘新村北,姑苏区,10路(东线),2,0,5
半塘,姑苏区,10路(东线),8,3,9
虎丘立交桥东,姑苏区,10路(东线),3,0,4
观景新村,姑苏区,10路(东线),1,0,2
新庄立交,姑苏区,10路(东线),0,0,0
新庄新村北,姑苏区,10路(东线),0,0,0
闻钟苑,姑苏区,10路(东线),1,1,3
来凤桥,姑苏区,10路(东线),1,1,3
三元新村,姑苏区,10路(东线),0,0,0
狮山桥东,姑苏区,10路(东线),0,0,0
体育中心,姑苏区,10路(东线),0,0,0
五环桥,姑苏区,10路(东线),0,0,0
索山桥南,姑苏区,10路(东线),0,0,0
唐胥桥,姑苏区,10路(东线),1,1,1
梅亭苑,姑苏区,10路(东线),1,0,1
晋源桥东,姑苏区,10路(东线),0,0,1
福星小区,姑苏区,10路(东线),0,0,1
友新新村南,姑苏区,10路(东线),0,0,0
友联新村北,姑苏区,10路(东线),0,0,0
盘溪新村南,姑苏区,10路(东线),0,0,0
大龙港新村,姑苏区,10路(东线),0,0,0
团结桥西,姑苏区,10路(东线),0,0,0
团结桥东,姑苏区,10路(东线),0,0,0
南环新村,姑苏区,10路(东线),0,0,0
汽车南站广场,姑苏区,10路(东线),0,0,0
汽车南站东,姑苏区,10路(东线),0,0,0
南环桥,姑苏区,10路(东线),0,0,0
,,,,,
虎丘婚纱城首末站,姑苏区,游1路(北线),0,0,0
虎丘婚纱城西,姑苏区,游1路(北线),0,0,0
虎丘婚纱城,姑苏区,游1路(北线),0,0,1
虎丘路,姑苏区,游1路(北线),4,1,12
虎阜桥,姑苏区,游1路(北线),8,2,12
青山桥浜,姑苏区,游1路(北线),3,2,11
虎阜花园西区北,姑苏区,游1路(北线),0,0,4
平河路江星路西,姑苏区,游1路(北线),0,0,0
大观名园,姑苏区,游1路(北线),0,0,0
平川路江星路东,姑苏区,游1路(北线),0,0,0
苏州平江医院,姑苏区,游1路(北线),0,0,0
和合街,姑苏区,游1路(北线),0,0,0
北广场汽车客运站,姑苏区,游1路(北线),0,0,0
苏州站北广场,姑苏区,游1路(北线),0,0,0
平门,姑苏区,游1路(北线),4,1,7
北寺塔,姑苏区,游1路(北线),4,1,14
接驾桥,姑苏区,游1路(北线),8,1,17
察院场观前街西,姑苏区,游1路(北线),10,1,19
乐桥北,姑苏区,游1路(北线),10,4,19
养育巷,姑苏区,游1路(北线),7,1,15
学士街,姑苏区,游1路(北线),7,3,20
小日晖桥北,姑苏区,游1路(北线),2,1,9
爱河桥,姑苏区,游1路(北线),7,3,18
广济桥(石路),姑苏区,游1路(北线),6,3,13
留园,姑苏区,游1路(北线),5,2,8
虎丘路新村(一号桥),姑苏区,游1路(北线),0,0,5
观景新村东,姑苏区,游1路(北线),2,0,5
虎丘路,姑苏区,游1路(北线),4,1,12
虎丘婚纱城,姑苏区,游1路(北线),0,0,1
虎丘婚纱城首末站,姑苏区,游1路(北线),0,0,0
,,,,,
浒关首末站,虎丘区,32路,0,0,0
浒墅关幼儿园,虎丘区,32路,0,0,0
浒墅关中心小学南,虎丘区,32路,0,0,0
浒墅关,虎丘区,32路,0,0,0
保卫新村北,虎丘区,32路,0,0,0
保卫新村东,虎丘区,32路,0,0,0
惠丰街中兴路东,虎丘区,32路,0,0,0
朱家庄(浒关),虎丘区,32路,0,0,0
新浒花园三区北门,虎丘区,32路,0,0,0
金榈湾,虎丘区,32路,0,0,0
新浒花园三区,虎丘区,32路,0,0,0
新浒花园二区,虎丘区,32路,0,0,0
新浒花园一区南,虎丘区,32路,0,0,0
水乡桥南,虎丘区,32路,0,0,0
陆步桥北,姑苏区,32路,0,0,0
陆步桥南,姑苏区,32路,0,0,0
富强新苑,姑苏区,32路,0,0,0
金成家园,姑苏区,32路,0,0,0
城北十一号桥,姑苏区,32路,0,0,0
机电五金城南,姑苏区,32路,0,0,0
钱万里桥新市场北,姑苏区,32路,0,0,0
和泰家园北,姑苏区,32路,0,0,0
白洋湾公园北,姑苏区,32路,0,0,0
苏城大道金湾街东,姑苏区,32路,0,0,2
花神苑北,姑苏区,32路,6,3,10
虎丘北门,姑苏区,32路,8,2,12
虎丘书院,姑苏区,32路,0,0,11
虎阜花园西区北,姑苏区,32路,0,0,3
塔影河桥,姑苏区,32路,0,0,1
清塘新村,姑苏区,32路,3,0,9
惠济桥,姑苏区,32路,5,2,12
桃花坞,姑苏区,32路,6,4,15
光华中学,姑苏区,32路,6,4,12
宋仙洲巷,姑苏区,32路,5,0,13
景德路,姑苏区,32路,10,5,17
养育巷,姑苏区,32路,7,1,15
乐桥,姑苏区,32路,3,0,13
市一中,姑苏区,32路,4,0,10
相门,姑苏区,32路,4,0,10
苏大理想眼科医院,姑苏区,32路,2,0,4
苏大北校区东,姑苏区,32路,0,0,1
东环路,虎丘区,32路,2,0,2
韶山花园,虎丘区,32路,2,0,2
百安居西,吴中区,32路,2,2,3
紫藤街,吴中区,32路,1,0,3
,,,,,
苏州市康复医院,姑苏区,204路,2,1,8
市立医院北区,姑苏区,204路,8,2,14
山塘街,姑苏区,204路,7,3,11
金阊实验小学,姑苏区,204路,8,5,13
广济桥(石路),姑苏区,204路,6,3,13
石路南,姑苏区,204路,6,2,16
爱河桥,姑苏区,204路,7,3,18
慈济,姑苏区,204路,12,6,21
儿童医院景德路院区,姑苏区,204路,12,3,22
察院场,姑苏区,204路,12,4,22
玄妙观,姑苏区,204路,7,3,20
狮子林南,姑苏区,204路,10,4,17
平江路,姑苏区,204路,12,3,13
东园,姑苏区,204路,8,3,19
北张家巷,姑苏区,204路,8,3,19
娄门桥,姑苏区,204路,6,6,6
娄门北,姑苏区,204路,6,5,6
苏安首末站,姑苏区,204路,1,0,1
苏安新村,虎丘区,204路,0,0,3
向阳桥南,虎丘区,204路,0,0,5
东港新村,虎丘区,204路,0,0,2
现代大道西,虎丘区,204路,0,0,0
相门新村,虎丘区,204路,0,0,0
徐家浜,虎丘区,204路,0,0,0
苏大东校区2,虎丘区,204路,0,0,0
夏家浜路,虎丘区,204路,0,0,0
星杭街金鸡湖大道,虎丘区,204路,0,0,0
黄天荡新村,虎丘区,204路,0,0,0
苏大附中,虎丘区,204路,0,0,0
北摆宴街,虎丘区,204路,0,0,0
南摆宴街,虎丘区,204路,0,0,0
