前一节点,后一节点,线路名称,票价,区域属性,间距(km)
金阊实验小学,广济桥(石路),7路,2,姑苏区,
广济桥(石路),爱河桥,7路,2,姑苏区,
爱河桥,小日晖桥北,7路,2,姑苏区,
小日晖桥北,小日晖桥,7路,2,姑苏区,
小日晖桥,胥门,7路,2,姑苏区,
胥门,新市桥游船码头,7路,2,姑苏区,
新市桥游船码头,新市桥南,7路,2,姑苏区,
新市桥南,解放桥北(招呼站),7路,2,姑苏区,
解放桥北(招呼站),盘溪新村,7路,2,姑苏区,
盘溪新村,水香六村,7路,2,姑苏区,
水香六村,盘蠡路吴中西路南,7路,2,吴中区,
盘蠡路吴中西路南,盘蠡路宝带西路南,7路,2,吴中区,
盘蠡路宝带西路南,盘蠡路宝带西路北,7路,2,吴中区,
盘蠡路宝带西路北,新家桥,7路,2,吴中区,
新家桥,嘉福桥,7路,2,吴中区,
嘉福桥,苏蠡花园,7路,2,吴中区,
苏蠡花园,跃进桥,7路,2,吴中区,
跃进桥,蠡墅,7路,2,吴中区,
蠡墅,复兴桥,7路,2,吴中区,
复兴桥,苏蠡路彭泾,7路,2,吴中区,
苏蠡路彭泾,彭泾,7路,2,吴中区,
彭泾,蠡墅立交,7路,2,吴中区,
,,,,,
金筑实验小学校,新东方汽车配件城北,8路,2,姑苏区,
新东方汽车配件城北,机电五金城南,8路,2,姑苏区,
机电五金城南,钱万里桥新市场北,8路,2,姑苏区,
钱万里桥新市场北,机电五金城,8路,2,姑苏区,
机电五金城,新东方汽车配件城南,8路,2,姑苏区,
新东方汽车配件城南,圩北港桥,8路,2,姑苏区,
圩北港桥,圩南港桥,8路,2,姑苏区,
圩南港桥,联城桥东,8路,2,姑苏区,
联城桥东,旺巷桥,8路,2,姑苏区,
旺巷桥,美地花园,8路,2,姑苏区,
美地花园,汇翠花园,8路,2,姑苏区,
汇翠花园,草桥中学,8路,2,姑苏区,
草桥中学,江星桥,8路,2,姑苏区,
江星桥,大观名园,8路,2,姑苏区,
大观名园,平川路江星路东,8路,2,姑苏区,
平川路江星路东,苏州平江医院,8路,2,姑苏区,
苏州平江医院,和合街,8路,2,姑苏区,
和合街,北广场汽车客运站,8路,2,姑苏区,
北广场汽车客运站,苏州站北广场,8路,2,姑苏区,
苏州站北广场,平门,8路,2,姑苏区,
平门,北寺塔,8路,2,姑苏区,
北寺塔,接驾桥,8路,2,姑苏区,
接驾桥,察院场观前街西,8路,2,姑苏区,
察院场观前街西,乐桥北,8路,2,姑苏区,
