前一节点,后一节点,线路名称,票价,区域属性,间距(km)
建国小区,户部山地铁站,20路,2,云龙区,
户部山地铁站,戏马台,20路,2,云龙区,
戏马台,南京银行,20路,2,云龙区,
南京银行,市四院,20路,2,云龙区,
市四院,纪念塔,20路,2,泉山区,
纪念塔,奎园北门,20路,2,泉山区,
奎园北门,农副产品市场,20路,2,泉山区,
农副产品市场,陶瓷市场,20路,2,泉山区,
陶瓷市场,东盛汽车城,20路,2,泉山区,
东盛汽车城,淮海文博园,20路,2,泉山区,
淮海文博园,御景湾小区,20路,2,泉山区,
御景湾小区,百果园地铁站,20路,2,泉山区,
百果园地铁站,三环南路(长安路),20路,2,泉山区,
三环南路(长安路),三环南路(奎河路),20路,2,泉山区,
三环南路(奎河路),矿大南门,20路,2,泉山区,
矿大南门,三环南路地铁站,20路,2,泉山区,
三环南路地铁站,风华园,20路,2,泉山区,
风华园,风华园公交站,20路,2,泉山区,
,,,,,
郭庄路停保场,树人中学云龙校区,605路,2,云龙区,
树人中学云龙校区,四季雅园,605路,2,云龙区,
四季雅园,康馨园东,605路,2,云龙区,
康馨园东,绿地世纪城,605路,2,云龙区,
绿地世纪城,铁路民祥园(汉城口腔医院),605路,2,云龙区,
铁路民祥园(汉城口腔医院),民富园,605路,2,云龙区,
民富园,民富园西门,605路,2,云龙区,
民富园西门,三环路口,605路,2,云龙区,
三环路口,民富园路口,605路,2,云龙区,
民富园路口,楚王陵,605路,2,云龙区,
楚王陵,强华骨科医院,605路,2,云龙区,
强华骨科医院,骆驼山桥,605路,2,云龙区,
骆驼山桥,徐州附三院,605路,2,云龙区,
徐州附三院,袁桥,605路,2,云龙区,
袁桥,恩华大厦,605路,2,云龙区,
恩华大厦,民主南路,605路,2,云龙区,
民主南路,文化宫(民主南路),605路,2,云龙区,
文化宫(民主南路),第三中学,605路,2,云龙区,
第三中学,创意68产业园,605路,2,鼓楼区,
创意68产业园,民主路小学,605路,2,鼓楼区,
民主路小学,爱牙医院,605路,2,鼓楼区,
爱牙医院,堤北,605路,2,鼓楼区,
堤北,堤北农贸市场,605路,2,鼓楼区,
堤北农贸市场,电力医院,605路,2,鼓楼区,
电力医院,祥和小区,605路,2,鼓楼区,
祥和小区,马场村,605路,2,鼓楼区,
马场村,第二中学,605路,2,鼓楼区,
