节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
文化宫(民主南路),云龙区,605路,6,2,6
第三中学,鼓楼区,605路,4,2,6
创意68产业园,鼓楼区,605路,3,3,8
民主路小学,鼓楼区,605路,2,2,5
爱牙医院,鼓楼区,605路,0,0,0
堤北,鼓楼区,605路,0,0,0
堤北农贸市场,鼓楼区,605路,0,0,0
电力医院,鼓楼区,605路,0,0,0
祥和小区,鼓楼区,605路,0,0,0
马场村,鼓楼区,605路,0,0,0
第二中学,鼓楼区,605路,0,0,0
奔腾大道路口,鼓楼区,605路,0,0,0
郡望花园,鼓楼区,605路,0,0,0
鼓楼生态园(南),鼓楼区,605路,0,0,0
奔腾大道路口,鼓楼区,605路,0,0,0
山水龙瑞,鼓楼区,605路,0,0,1
煤建四处东院,鼓楼区,605路,0,0,1
万科城,鼓楼区,605路,0,0,0
万科城北,鼓楼区,605路,0,0,0
天齐路,鼓楼区,605路,0,0,0
九里新苑公交首末站,鼓楼区,605路,0,0,0
,,,,,
西苑人家,鼓楼区,39路,0,0,0
民馨路,鼓楼区,39路,0,0,0
西苑小区,泉山区,39路,0,0,0
西苑农贸市场,泉山区,39路,0,0,0
西苑东口,泉山区,39路,0,0,0
水漫桥,泉山区,39路,0,0,0
沈场市场,泉山区,39路,0,0,0
合群新村,泉山区,39路,0,0,0
合群桥,泉山区,39路,0,0,0
黄河新村,鼓楼区,39路,0,0,0
夹河街西口,鼓楼区,39路,1,0,5
第一中学,鼓楼区,39路,2,1,5
夹河街东口,鼓楼区,39路,2,2,5
金地商都,鼓楼区,39路,2,0,5
供销大厦,鼓楼区,39路,7,2,9
户部山地铁站,云龙区,39路,11,3,13
戏马台,云龙区,39路,6,1,10
南京银行,云龙区,39路,0,0,5
市四院,泉山区,39路,2,1,4
凤鸣路,泉山区,39路,2,0,0
康居小区东,泉山区,39路,0,0,3
康居小区,泉山区,39路,1,0,2
文化城,泉山区,39路,1,0,2
泰山西坡,泉山区,39路,1,0,2
省财校,泉山区,39路,0,0,1
金泰馨雅园,泉山区,39路,0,0,0
金山村,泉山区,39路,0,0,0
茶棚,泉山区,39路,0,0,0
泉山公园,泉山区,39路,0,0,0
泉山法院,泉山区,39路,0,0,0
双山,泉山区,39路,0,0,0
风华园公交首末站,泉山区,39路,0,0,0
,,,,,
徐州站,云龙区,41路,0,0,1
万虹桥电子市场,鼓楼区,41路,5,2,11
第三中学,鼓楼区,41路,4,2,6
创意68产业园,鼓楼区,41路,3,3,8
牌楼,鼓楼区,41路,3,2,5
夹河街东口,泉山区,41路,2,2,5
第一中学,泉山区,41路,2,1,5
夹河街西口,泉山区,41路,2,1,5
市二院西门,泉山区,41路,3,2,5
工商局,泉山区,41路,2,1,3
电视塔,泉山区,41路,0,0,1
云龙公园西门,泉山区,41路,0,0,1
银湖小区东,泉山区,41路,1,0,3
云龙山隧道,泉山区,41路,1,0,5
云龙湖旅游风景区,泉山区,41路,0,0,2
云龙山索道,泉山区,41路,0,0,0
金山公园,泉山区,41路,0,0,0
金泰馨雅园,泉山区,41路,0,0,0
省财校,泉山区,41路,0,0,0
营房西门(金山东路),泉山区,41路,0,0,1
营房东门,泉山区,41路,0,0,1
孟庄公寓,泉山区,41路,0,0,1
泰山汇景花园,泉山区,41路,0,0,0
大学城,泉山区,41路,0,0,0
矿业大学,泉山区,41路,0,0,0
风华园,泉山区,41路,0,0,0
风华苑(风华南路),泉山区,41路,0,0,0
风华南苑,泉山区 ,41路,0,0,0
芙蓉园,铜山区,41路,0,0,0
文沃市场,铜山区,41路,0,0,0
建筑学院,铜山区,41路,0,0,0
,,,,,
宣武市场,云龙区,66路,2,0,0
宣武市场(建国东路),云龙区,66路,2,0,7
建国小区,云龙区,66路,4,1,11
云龙医院,云龙区,66路,9,3,13
解放桥,泉山区,66路,5,0,13
市二院南,泉山区,66路,5,2,6
永安广场,泉山区,66路,3,0,3
矿务局南,泉山区,66路,1,0,2
煤建西路,泉山区,66路,0,0,0
建国路西口,泉山区,66路,0,0,0
段庄(二环西路),泉山区,66路,0,0,0
人民广场西,泉山区,66路,0,0,0
万科淮海天地,泉山区,66路,0,0,0
二轻路,泉山区,66路,0,0,0
雁山路,泉山区,66路,0,0,0
荣盛城一期,泉山区,66路,0,0,0
荣盛城二期,泉山区,66路,0,0,0
第三十一中学(荣盛城分校),泉山区,66路,0,0,0
新淮海西路(杏山子大道),泉山区,66路,0,0,0
星雨路南,泉山区,66路,0,0,0
雨润新城(星雨路),泉山区 ,66路,0,0,0
雨润新城,泉山区,66路,0,0,0
雨润市场,泉山区 ,66路,0,0,0
,,,,,
云龙湖旅游风景区,泉山区,55路,0,0,2
云龙山隧道,泉山区,55路,1,0,5
银湖小区东,泉山区,55路,1,0,3
云龙公园西门,泉山区,55路,0,0,1
电视塔,泉山区,55路,0,0,1
云龙公园北门,泉山区,55路,2,1,4
海云大厦,泉山区,55路,5,2,10
中山饭店,云龙区,55路,5,2,7
市交通银行,云龙区,55路,5,2,13
青年路小学,云龙区,55路,7,6,17
公园巷小学,云龙区,55路,9,4,16
百惠家美时,云龙区,55路,3,0,9
徐州站(朝阳),鼓楼区,55路,0,0,2
四道街,鼓楼区,55路,0,0,1
地下道(大庆路),鼓楼区,55路,1,0,1
二七宿舍,鼓楼区,55路,0,0,1
白云山,鼓楼区,55路,0,0,0
下淀瑞博医院,鼓楼区,55路,0,0,0
下淀地铁站,鼓楼区,55路,0,0,0
二九宿舍,鼓楼区,55路,0,0,0
徐州物资市场,鼓楼区,55路,0,0,0
京阜心血管医院,鼓楼区,55路,0,0,0
杨庄,鼓楼区,55路,0,0,0
二十四中,鼓楼区,55路,0,0,0
基桩公司,鼓楼区,55路,0,0,0
E20创意园(蟠桃山路),鼓楼区,55路,0,0,0
徐工科技,鼓楼区,55路,0,0,0
临时站(金水路),鼓楼区,55路,0,0,0
北区公交首末站,鼓楼区,55路,0,0,0
,,,,,
国基城邦,铜山区,51路,0,0,0
科教集聚区,铜山区,51路,0,0,0
矿大南湖校区东门,铜山区,51路,0,0,0
茶棚,泉山区,51路,0,0,0
金山村,泉山区,51路,0,0,0
金泰馨雅园,泉山区,51路,0,0,0
省财校,泉山区,51路,0,0,1
营房西门(金山东路),泉山区,51路,0,0,1
营房东门,泉山区,51路,0,0,1
孟庄公寓,泉山区,51路,0,0,1
泰山汇景花园,泉山区,51路,0,0,0
大学城,泉山区,51路,0,0,0
科技广场,泉山区,51路,0,0,0
侯山窝,泉山区,51路,2,1,5
奎园西门,泉山区,51路,3,2,6
纪念塔,泉山区,51路,4,1,5
市四院,泉山区,51路,2,1,4
南京银行,云龙区,51路,0,0,5
戏马台,云龙区,51路,6,1,10
户部山地铁站,云龙区,51路,11,3,13
建国小区,云龙区,51路,4,1,11
宣武市场(建国东路),云龙区,51路,2,0,6
徐州站(蓝天),云龙区,51路,1,1,1
徐州站,云龙区,51路,0,0,1
,,,,,
民馨园,鼓楼区,69路,0,0,0
西苑小区,鼓楼区,69路,0,0,0
西苑农贸市场,鼓楼区,69路,0,0,0
西苑东口,鼓楼区,69路,0,0,0
华润小区,鼓楼区,69路,0,0,0
工业学校黄河校区,鼓楼区,69路,0,0,0
沈场,鼓楼区,69路,0,0,0
苏堤北路立交桥,鼓楼区,69路,0,0,0
苏堤路小学,鼓楼区,69路,0,0,0
永业花园小区,鼓楼区,69路,0,0,0
江苏四监,鼓楼区,69路,0,0,0
铜沛路东口,鼓楼区,69路,0,0,0
北路口,鼓楼区,69路,0,0,0
金地商都,泉山区,69路,2,0,5
中山南路(中枢街),泉山区,69路,5,3,11
中山饭店,泉山区,69路,5,2,7
中医院,泉山区,69路,8,2,14
云龙山,泉山区,69路,4,0,4
彭园西门,泉山区,69路,0,0,1
泉山检察院,泉山区,69路,0,1,0
文化城,泉山区,69路,1,0,2
泰山西坡,泉山区,69路,1,0,2
营房西门(金山东路),泉山区,69路,0,0,1
营房东门,泉山区,69路,0,0,1
孟庄公寓,泉山区,69路,0,0,1
泰山汇景花园,泉山区,69路,0,0,0
大学城,泉山区,69路,0,0,0
矿业大学,泉山区,69路,0,0,0
风华园公交首末站,泉山区,69路,0,0,0
,,,,,
韩山村南,泉山区,73路,0,0,0
滨湖花园,泉山区,73路,0,0,0
湖滨市场,泉山区,73路,0,0,0
金府家园,泉山区,73路,0,0,0
纺南小区,泉山区,73路,0,0,0
湖滨路口(二环西路),泉山区,73路,0,0,0
建国路西口,泉山区,73路,0,0,0
大福源超市,泉山区,73路,0,0,0
永安小区,泉山区,73路,0,0,0
永安广场,泉山区,73路,3,0,3
市二院南,泉山区,73路,5,2,6
中山南路(中枢街),泉山区,73路,5,3,11
金地商都,泉山区,73路,2,0,5
北路口,鼓楼区,73路,0,0,0
火车西站,鼓楼区,73路,0,0,0
坝子街,鼓楼区,73路,0,0,0
