节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
省卫健委,,20路,3
鼓楼,,20路,6
南街,,20路,21
道山路口,,20路,15
南门,,20路,6
茶亭,,20路,0
洋头口,,20路,0
省人民医院,,20路,4
文化宫,,20路,3
中亭街,,20路,5
青年广场,,20路,4
轮工,,20路,4
苍霞嘉兴园,,20路,5
师大,,20路,4
仓山镇,,20路,4
福建第二轻工业学校,,20路,2
福建船政交通职业学校,,20路,2
,,,
火车站北广场,,22路,0
火车站南广场,,22路,0
茶园,,22路,2
电建二公司,,22路,1
华林高架,,22路,0
地铁斗门,,22路,0
省农行,,22路,0
树兜,,22路,0
古三座,,22路,0
闽江饭店,,22路,3
五四路口,,22路,1
东街口,,22路,6
三坊七巷,,22路,5
高峰桥,,22路,3
陆庄,,22路,2
柳桥,,22路,1
茶园山,,22路,0
福大北门,,22路,0
天骏小区,,22路,0
物构所,,22路,0
洪山桥,,22路,1
福建建筑学校,,22路,0
农林大学,,22路,0
农大社区,,22路,0
福建理工学校,,22路,0
淮安上下店路口,,22路,0
淮安高沙,,22路,0
淮安公交总站,,22路,1
,,,
福能总医院,,23路,1
孟超肝胆医院西洪院区(鸡角弄),,23路,0
西洪路,,23路,3
九〇〇医院(原总院),,23路,0
熊猫世界,,23路,3
双安城,,23路,4
福建博物馆,,23路,3
梅峰宾馆,,23路,3
左海公园,,23路,3
三角井,,23路,3
省政府,,23路,3
屏东,,23路,4
省农行,,23路,0
华林四桥,,23路,0
地铁斗门,,23路,0
湖塍,,23路,0
洋下新村,,23路,2
东门村委,,23路,1
东门,,23路,0
省彩印厂,,23路,0
长乐北路口,,23路,0
乐西(东),,23路,3
王庄公交站总站,,23路,2
,,,
尤溪洲(西)公交站,,25路,1
长寿社,,25路,3
帮洲,,25路,3
蓬埕,,25路,6
青年广场,,25路,4
闽江之心(台州步行街),,25路,1
桥南,,25路,3
埔顶,,25路,3
龙津,,25路,5
三叉街,,25路,2
三叉街新村,,25路,0
则徐大道盖山路口,,25路,0
白湖亭,,25路,0
后坂,,25路,0
上洲,,25路,2
白湖村委,,25路,2
北园,,25路,2
步卓,,25路,0
迎飞小区,,25路,1
盖山跃进,,25路,0
半田透,,25路,0
新安,,25路,0
义序,,25路,3
尚保,,25路,1
吴凤,,25路,0
吴山,,25路,0
天水,,25路,1
盘屿,,25路,0
盘屿地铁站A口,,25路,0
盘屿路,,25路,0
华威农产品交易中心,,25路,0
台屿地铁站,,25路,0
公交福湾站,,25路,0
,,,
公交大学城总站,,26路,1
大学城师大西门,,26路,0
广贤路,,26路,0
华南女院东门,,26路,0
师大协和学院,,26路,0
学府国屿,,26路,0
马保村,,26路,0
大学城闽江师专,,26路,0
葛歧村,,26路,0
葛屿村,,26路,2
金山公交中心停车场,,26路,2
浦上建新南路口,,26路,0
浦上大道,,26路,1
新筑社区,,26路,1
仓山万达广场,,26路,0
尤溪洲桥头,,26路,2
港头(闽江大道),,26路,1
半道,,26路,2
联建村,,26路,1
福建生态工程学校(洋洽),,26路,1
竹榄,,26路,1
上渡,,26路,1
师大(程埔头),,26路,3
跑马场,,26路,4
三叉街,,26路,2
三叉街新村,,26路,0
则徐大道盖山路口,,26路,0
白湖亭,,26路,0
双湖二路,,26路,1
福田公司,,26路,0
仓山科技园,,26路,0
,,,
福大东门,,27路,4
西禅寺,,27路,4
闽江学院工业路校区,,27路,1
福祥社区,,27路,1
祥坂路口,,27路,1
宝龙城市广场,,27路,1
白马河,,27路,1
上海街道,,27路,1
斗池,,27路,3
乌山小学,,27路,4
福二中,,27路,3
省话剧院,,27路,5
双抛桥站(2号侯车楼),,27路,15
旗汛口,,27路,4
八方大厦,,27路,0
东水路口,,27路,0
东门,,27路,0
省彩印厂,,27路,0
晋安区委,,27路,0
福新东路,,27路,0
金晖新村,,27路,0
地铁五里亭站,,27路,3
肿瘤医院,,27路,3
前屿,,27路,1
前横路红光路口,,27路,0
后屿路口,,27路,0
警官学院,,27路,0
福新公交枢纽站,,27路,0
,,,
新厦二区社区,,28路,3
幸福城小区,,28路,3
新店,,28路,2
浮村,,28路,2
琴亭路西,,28路,0
琴亭高架桥,,28路,2
琴亭,,28路,1
怡馨苑,,28路,1
西园,,28路,0
火车站南广场,,28路,0
茶园,,28路,1
电建二公司,,28路,1
铁道医院,,28路,0
省二人民医院二化分院,,28路,2
万事利花园,,28路,0
福新东路,,28路,0
金晖新村,,28路,0
双坂,,28路,3
光明桥,,28路,0
龙福机电交易市场,,28路,2
高湖村,,28路,0
盖山镇政府新村,,28路,0
则徐广场,,28路,0
白湖亭,,28路,0
后坂,,28路,0
,,,
金牛山公园,,29路,1
西河,,29路,0
锦江园,,29路,0
融侨锦江,,29路,0
望龙台,,29路,0
省广电中心,,29路,1
长寿社,,29路,3
帮洲,,29路,3
蓬埕,,29路,6
青年广场,,29路,4
安平小区,,29路,3
打铁垱,,29路,3
南公园,,29路,3
象园头,,29路,3
象园(长乐路口),,29路,3
连潘,,29路,0
福州电视中心,,29路,2
融侨东区,,29路,0
三木小区,,29路,0
三木都市田园,,29路,0
流星东景小区,,29路,0
盛天现代城(前屿村),,29路,1
恒宇国际公园,,29路,1
远洋,,29路,0
磨洋河,,29路,1
廨院小学,,29路,0
省革命历史纪念馆,,29路,0
鼓山公交总站,,29路,1
,,,
台江广场,,30路,0
闽江之心(台州步行街),,30路,1
桥南,,30路,3
埔顶,,30路,3
龙津,,30路,5
三叉街,,30路,2
三叉街新村,,30路,0
则徐大道盖山路口,,30路,0
后坂,,30路,0
地铁葫芦阵,,30路,0
葫芦阵南,,30路,0
黄山,,30路,3
福建省地质医院,,30路,3
排下,,30路,0
城门三丰,,30路,1
城门,,30路,4
前锦,,30路,1
三角埕,,30路,2
温墩,,30路,1
胪雷亭,,30路,1
石步,,30路,4
浚边,,30路,4
三江路口,,30路,0
峡南,,30路,0
建华管桩,,30路,5
枕峰,,30路,1
祥谦陵园,,30路,0
泮洋村,,30路,0
尚干,,30路,0
尚干首末站,,30路,0
,,,
动物园,,117路,1
金城工业区,,117路,1
西庄小区,,117路,2
西庄崇安路口,,117路,1
新店医院,,117路,1
南平西路,,117路,1
浮村,,117路,2
琴亭路西,,117路,0
方圆大厦,,117路,0
琴湖小区,,117路,0
省体育中心,,117路,1
省老干局,,117路,0
省农科院,,117路,0
树兜,,117路,1
古三座,,117路,0
七星井,,117路,7
开元寺,,117路,5
尚宾路口,,117路,7
南街,,117路,21
道山路口,,117路,15
乌山路口,,117路,7
