前一节点,后一节点,线路名称,票价(元),间距(公里)
鹤林新城,省二人民医院二化分院,11路,1,
省二人民医院二化分院,三角池,11路,1,
三角池,福州锅炉厂原址,11路,1,
福州锅炉厂原址,塔头,11路,1,
塔头,东水路口,11路,1,
东水路口,八方大厦,11路,1,
八方大厦,仙塔街,11路,1,
仙塔街,格致中学,11路,1,
格致中学,协和医院,11路,1,
协和医院,南门,11路,1,
南门,茶亭,11路,1,
茶亭,洋头口,11路,1,
洋头口,省人民医院,11路,1,
省人民医院,文化宫西门,11路,1,
文化宫西门,洋中亭,11路,1,
洋中亭,马口,11路,1,
马口,福四中,11路,1,
福四中,上渡,11路,1,
上渡,竹揽,11路,1,
竹揽,洋洽,11路,1,
洋洽,省精神卫生中心,11路,1,
省精神卫生中心,市第四医院,11路,1,
市第四医院,建新南路,11路,1,
建新南路,海峡奥体公交枢纽站,11路,1,
,,,,
公交苍霞站,苍霞新城,3路,1,
苍霞新城,青年广场,3路,1,
青年广场,中亭街,3路,1,
中亭街,达道,3路,1,
达道,地铁达道站,3路,1,
地铁达道站,闽江之心(台州步行街),3路,1,
闽江之心(台州步行街),排尾,3路,1,
排尾,亚峰,3路,1,
亚峰,排尾路长乐南路口,3路,1,
排尾路长乐南路口,亚峰农贸市场,3路,1,
亚峰农贸市场,龙福机电交易市场,3路,1,
龙福机电交易市场,高湖村,3路,1,
高湖村,盖山镇政府新村,3路,1,
盖山镇政府新村,则徐广场,3路,1,
则徐广场,后坂,3路,1,
后坂,地铁葫芦阵,3路,1,
地铁葫芦阵,葫芦阵南,3路,1,
葫芦阵南,黄山,3路,1,
黄山,福建省地质医院,3路,1,
福建省地质医院,排下,3路,1,
排下,城门三丰,3路,1,
城门三丰,大浦路西,3路,1,
大浦路西,杜园,3路,1,
杜园,闽江局,3路,1,
闽江局,螺洲泰禾福州院子,3路,1,
螺洲泰禾福州院子,螺洲店前,3路,1,
,,,,
秀宅路,祥浦苑,12路,1,
祥浦苑,观澜云著A区,12路,1,
观澜云著A区,江边新苑,12路,1,
江边新苑,雁头,12路,1,
雁头,雁头路西,12路,1,
雁头路西,仓山区检察院,12路,1,
仓山区检察院,先峰幼儿园,12路,1,
先峰幼儿园,仓山步行街,12路,1,
仓山步行街,十棉祠,12路,1,
十棉祠,桥南,12路,1,
桥南,观井,12路,1,
观井,中洲岛,12路,1,
中洲岛,中亭街,12路,1,
中亭街,学军路,12路,1,
学军路,马口,12路,1,
