节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数
万福西苑,,12路,0
江都北路南,,12路,0
吾悦广场北,,12路,0
瘦西湖景苑西门,,12路,0
江都北路玉箫路,,12路,0
三星花园西门,,12路,1
三星花园北,,12路,0
叶桥路秋实园路北,,12路,0
佳嘉花园公交首末站,,12路,0
,,,
大明寺,,游2路,8
观音山,,游2路,8
瘦西湖东门,,游2路,7
五亭桥,,游2路,11
宋夹城体育场休闲公园南门,,游2路,3
友谊广场,,游2路,1
迎宾馆,,游2路,3
瘦西湖,,游2路,6
文昌阁,,游2路,4
石塔寺,,游2路,3
扬大文汇路校区东,,游2路,0
畜牧兽医院,,游2路,0
扬州大学,,游2路,2
砚池小区,,游2路,2
大学南路江阳中路北,,游2路,0
文峰大桥,,游2路,0
中国大运河博物馆东,,游2路,0
运河三湾风景区东门,,游2路,0
开发区人民检察院,,游2路,0
G40扬州南出入口,,游2路,0
富川瑞园,,游2路,0
依云城邦,,游2路,0
外商公共服务中心,,游2路,0
四水厂,,游2路,0
江海学院,,游2路,2
邗江南路扬子津路,,游2路,0
扬大广陵学院西,,游2路,0
运西朱庄,,游2路,0
红庙路岔口,,游2路,0
怡园东苑东,,游2路,0
运西东,,游2路,0
运西万庄,,游2路,0
运西花园东,,游2路,0
运西王庄,,游2路,0
葵园,,游2路,0
邗江南路南,,游2路,0
古运河大桥西,,游2路,0
瓜洲桥,,游2路,0
瓜洲古渡公园,,游2路,0
,,,
平山实验学校,,17路,0
九溪玫瑰园南门,,17路,0
17路临时站,,17路,0
学士社区,,17路,0
17路临时站2,,17路,0
木材市场,,17路,0
瘦西湖路,,17路,0
瘦西湖枫林路,,17路,0
世界动物之窗,,17路,0
干休所,,17路,0
友谊新村,,17路,0
友谊广场,,17路,2
迎宾馆,,17路,3
瘦西湖,,17路,6
文昌阁,,17路,4
石塔寺,,17路,3
西门,,17路,0
人民大厦,,17路,0
市人力资源和社会保障局,,17路,1
新华中学,,17路,0
崇文苑,,17路,0
春江花园,,17路,0
扬子江中路茉莉花路,,17路,0
交警支队,,17路,0
扬州智谷东,,17路,0
三湾湿地公园西,,17路,0
开发区人民检察院,,17路,0
G40扬州南出入口,,17路,0
富川瑞园,,17路,0
华杨大桥西,,17路,0
华扬大桥东,,17路,0
古津路北,,17路,0
古津路,,17路,0
古津路南,,17路,0
西安交大扬州科技园,,17路,0
吴州大桥西,,17路,0
四水厂,,17路,0
江海学院,,17路,1
开发区马庄,,17路,0
蓝蔚庄园,,17路,0
九龙湖路岔口,,17路,0
出口加工厂,,17路,0
毓秀路东,,17路,0
树人九龙湖校区,,17路,0
马港河北路毓秀路北,,17路,0
树人学校凤栖湖校区,,17路,0
晶龙湾南门,,17路,0
江苏旅游职业学院,,17路,0
,,,
西部客运枢纽(扬州火车站西),,18路,0
扬州火车站,,18路,0
站南路文昌西路,,18路,0
京华城路新盛路,,18路,0
新盛路北,,18路,0
新盛花苑,,18路,0
同泰路西,,18路,0
同泰路真州中路,,18路,0
同泰路,,18路,0
绿杨新苑西门,,18路,0
绿杨新苑,,18路,0
水晶城,,18路,0
天俊华府,,18路,0
西郡188花园西门,,18路,0
西郡188花园南门,,18路,0
富丽康城,,18路,0
邗江区政府南门,,18路,0
贝恩口腔医院,,18路,0
扬州大剧院,,18路,0
南宝带小区,,18路,0
崇文苑,,18路,0
新华中学,,18路,0
市人力资源和社会保障局,,18路,0
人民大厦,,18路,0
西门,,18路,0
石塔寺,,18路,3
珍园,,18路,8
琼花观,,18路,15
解放桥,,18路,2
扬州仁爱医院,,18路,0
沙北三村,,18路,0
鸿泰家园,,18路,0
文康苑,,18路,0
文昌北苑南门,,18路,0
文昌花园公交首末站,,18路,0
,,,
华夏银行分行,,19路,0
扬子妇科医院,,19路,0
邗江区政府,,19路,0
联环玛俪妇产医院,,19路,0
凯莱花园,,19路,0
四季园南门,,19路,0
秋雨路,,19路,0
新华中学,,19路,0
扬大农学院,,19路,0
双虹桥,,19路,3
苏北医院西北门,,19路,6
苏北医院,,19路,4
育才小学,,19路,4
渡江桥,,19路,10
七二三所,,19路,10
康山文化园,,19路,5
长城饭店,,19路,7
跃进桥东,,19路,3
武警医院,,19路,0
运河西路曲江南路西,,19路,0
扬州大桥西,,19路,0
扬州大桥东,,19路,0
运河东路明发路,,19路,0
运河东路金韵路,,19路,0
公交四公司,,19路,0
,,,
东部客运枢纽,,20路,0
太平匣东,,20路,0
万福匣东,,20路,0
江广路沙湾北路西,,20路,0
江广路京杭北路东,,20路,0
广陵新城公交首末站,,20路,0
工人疗养院,,20路,0
江扬大桥西,,20路,0
名城运河锦园,,20路,0
群发化工小区,,20路,0
扬州高职校,,20路,0
万福西路,,20路,0
五台新村,,20路,0
五台山医院,,20路,0
五台山大桥西,,20路,0
漕河桥东,,20路,2
史可法路梅岭东路,,20路,1
凤凰桥街,,20路,3
友好会馆,,20路,3
四望亭,,20路,3
四望亭淮海路西,,20路,3
扬大师院南门,,20路,0
双桥,,20路,0
石桥,,20路,0
口岸委,,20路,0
东方医院,,20路,0
翠岗小区,,20路,0
邗江中路文昌西路,,20路,0
扬大附院西区医院,,20路,0
邗江区政府,,20路,0
扬子妇科医院,,20路,0
华夏银行分行,,20路,0
,,,
京城公交首末站,,21路,0
五彩世界南,,21路,0
月亮园,,21路,0
邗江区第一中学,,21路,0
来鹤台广场,,21路,0
邗江中路文昌西路,,21路,0
巴黎春天,,21路,0
望月苑,,21路,0
凯莱花园,,21路,0
安兴苑,,21路,0
扬州大剧院,,21路,0
南宝带小区,,21路,0
江阳学院,,21路,0
曙光新苑,,21路,0
大学南路江阳中路北,,21路,0
通扬桥东,,21路,0
工人新村,,21路,0
江阳东路金鱼塘路,,21路,0
东花园,,21路,0
施井小区西,,21路,0
施井路,,21路,0
曲江装饰城,,21路,0
通运商贸城北门,,21路,1
,,,
八南村,,22路,0
八里镇政府,,22路,0
玉带家园,,22路,0
金港北苑南门,,22路,0
金港花园,,22路,0
金山花园,,22路,0
金山路,,22路,0
港口工业园,,22路,0
江苏顺大,,22路,0
金山路扬子江南,,22路,0
扬子江南路金山路北,,22路,0
邗江河桥,,22路,0
出口加工区,,22路,0
九龙湖路岔口,,22路,0
蓝蔚庄园,,22路,0
开发区马庄,,22路,0
江海学院,,22路,2
四水厂,,22路,0
外商公共服务中心,,22路,0
依云城邦,,22路,0
富川瑞园,,22路,0
G40扬州南出入口,,22路,0
开发区人民检察院,,22路,0
淮扬路兴扬路北,,22路,0
淮扬路开发西路南,,22路,0
祥和路,,22路,0
开发西路鸿大路,,22路,0
开发西路,,22路,0
邗江中路开发西路,,22路,0
美天健康体检中心,,22路,0
江阳西路邗江中路,,22路,0
麦德龙,,22路,0
红星美凯龙东,,22路,0
润扬中路,,22路,0
西郡188花园南门,,22路,0
天骏华府南门,,22路,0
余林村,,22路,0
兴城西路博物馆,,22路,0
橡树湾南门,,22路,0
文汇苑A区东门,,22路,1
站南路文汇西路,,22路,0
新盛花苑南门,,22路,0
新盛花苑,,22路,0
新盛路北,,22路,0
京华城路新盛路,,22路,0
站南路文昌西路,,22路,0
西部客运枢纽(扬州火车站西),,22路,0
,,,
槐泗公交停车场,,23路,0
包家村,,23路,0
酒甸西,,23路,0
槐泗卫生服务中心,,23路,0
常熟银行槐泗分理处,,23路,0
酒甸集镇,,23路,0
吉兴南路,,23路,0
S28瘦西湖出入口,,23路,0
槐泗工业园,,23路,0
瘦西湖路庆峰路,,23路,0
瘦西湖路扬子北路,,23路,0
九溪玫瑰园,,23路,0
瘦西湖路学士西路,,23路,0
木材市场,,23路,0
瘦西湖路,,23路,0
瘦西湖路枫林路,,23路,0
世界动物之窗,,23路,0
干休所,,23路,0
友谊新村,,23路,0
友谊广场,,23路,2
梅岭西路,,23路,1
友好会馆,,23路,3
文昌阁,,23路,4
仙鹤寺,,23路,7
苏北医院,,23路,4
荷花池公园,,23路,0
通扬桥东,,23路,0
工人新村,,23路,0
江阳东路金鱼塘路,,23路,0
东花园,,23路,0
施井小区西,,23路,0
东方丽景,,23路,0
东花园泵站,,23路,0
正泰花苑,,23路,0
九久奥莱广场,,23路,0
亚联公交停车场,,23路,0
,,,
公交三公司,,25路,0
扬子江北路荷叶路南,,25路,0
小官桥,,25路,0
五亭龙东门,,25路,1
扬子江北路双塘东路北,,25路,0
江阳商贸城,,25路,0
扬子江北路江平东路,,25路,0
扬子江北路司徒庙路南,,25路,0
鉴真路,,25路,1
大明寺,,25路,8
观音山,,25路,6
下马桥,,25路,3
汉广陵王墓,,25路,4
瘦西湖悦园,,25路,0
干休所,,25路,0
湖畔御景,,25路,0
佳竹苑,,25路,0
邗沟路黄金坝路,,25路,1
大王庙,,25路,3
梅花山庄,,25路,3
五台山大桥,,25路,0
便益门,,25路,3
东关古渡,,25路,5
吴道台府,,25路,6
跃进桥,,25路,5
跃进桥东,,25路,3
武警医院,,25路,0
运河西路曲江南路西,,25路,0
扬州大桥西,,25路,0
扬州大桥东,,25路,0
运河东路明发路,,25路,0
运河东路金韵路,,25路,0
公交四公司,,25路,0
,,,
扬汽驾校,,26路,0
西部客运枢纽,,26路,0
扬州火车站,,26路,0
站南路文昌西路,,26路,0
揽月公园北,,26路,0
华鼎星城,,26路,0
万豪西花苑,,26路,0
和美第北门,,26路,0
京华城南门,,26路,0
京华城怡景苑,,26路,0
五彩世界西,,26路,0
江苏银行,,26路,0
刘伟口腔,,26路,0
来鹤台广场,,26路,0
翠岗小区,,26路,0
东方医院,,26路,0
友邦保险,,26路,0
市政府,,26路,1
人民大厦,,26路,0
西门,,26路,0
石塔寺,,26路,3
珍园,,26路,8
琼花观,,26路,15
吴道台府,,26路,6
跃进桥,,26路,5
跃进桥东,,26路,3
武警医院,,26路,0
运河西路曲江南路西,,26路,0
扬州大桥西,,26路,0
扬州大桥南,,26路,0
东方名城和园,,26路,0
江苏汽车技师学院,,26路,0
翠月嘉苑,,26路,0
怡新花园,,26路,0
广陵世家,,26路,0
明发路,,26路,0
运河东路金韵路,,26路,0
公交四公司,,26路,0
,,,
蒋王公交首末站,,27路,0
马庄小区,,27路,0
和月社区,,27路,0
张有斌口腔门诊,,27路,0
站南路蒋王路,,27路,0
吉祥路西,,27路,0
蒋王幼儿园,,27路,0
余林村,,27路,0
天俊华府南门,,27路,0
西郡188花园西门,,27路,0
天和国际花园西门,,27路,0
奥都花城南门,,27路,0
美琪学校,,27路,0
月亮园东门,,27路,0
望月路百祥路,,27路,0
望月路,,27路,1
巴黎春天,,27路,1
望月苑,,27路,1
四季园南门,,27路,0
秋雨路,,27路,0
市人力资源和社会保障局,,27路,1
人民大厦,,27路,0
西门,,27路,0
石塔寺,,27路,3
文昌阁,,27路,4
史公祠,,27路,8
个园,,27路,7
工艺美术馆,,27路,3
便益门,,27路,1
五台山大桥,,27路,0
梅花山庄,,27路,2
大王庙,,27路,2
御龙湾商业广场,,27路,1
