前一节点,后一节点,线路名称,票价,区域属性
富丽康城,邗江区政府南门,18路,2,
邗江区政府南门,贝恩口腔医院,18路,2,
贝恩口腔医院,扬州大剧院,18路,2,
扬州大剧院,南宝带小区,18路,2,
南宝带小区,崇文苑,18路,2,
崇文苑,新华中学,18路,2,
新华中学,市人力资源和社会保障局,18路,2,
市人力资源和社会保障局,人民大厦,18路,2,
人民大厦,西门,18路,2,
西门,石塔寺,18路,2,
石塔寺,珍园,18路,2,
珍园,琼花观,18路,2,
琼花观,解放桥,18路,2,
解放桥,扬州仁爱医院,18路,2,
扬州仁爱医院,沙北三村,18路,2,
沙北三村,鸿泰家园,18路,2,
鸿泰家园,文康苑,18路,2,
文康苑,文昌北苑南门,18路,2,
文昌北苑南门,文昌花园公交首末站,18路,2,
,,,,
华夏银行分行,扬子妇科医院,19路,2,
扬子妇科医院,邗江区政府,19路,2,
邗江区政府,联环玛俪妇产医院,19路,2,
联环玛俪妇产医院,凯莱花园,19路,2,
凯莱花园,四季园南门,19路,2,
四季园南门,秋雨路,19路,2,
秋雨路,新华中学,19路,2,
新华中学,扬大农学院,19路,2,
扬大农学院,双虹桥,19路,2,
双虹桥,苏北医院西北门,19路,2,
苏北医院西北门,苏北医院,19路,2,
苏北医院,育才小学,19路,2,
育才小学,渡江桥,19路,2,
渡江桥,七二三所,19路,2,
七二三所,康山文化园,19路,2,
康山文化园,长城饭店,19路,2,
长城饭店,跃进桥东,19路,2,
跃进桥东,武警医院,19路,2,
武警医院,运河西路曲江南路西,19路,2,
运河西路曲江南路西,扬州大桥西,19路,2,
扬州大桥西,扬州大桥东,19路,2,
扬州大桥东,运河东路明发路,19路,2,
运河东路明发路,运河东路金韵路,19路,2,
运河东路金韵路,公交四公司,19路,2,
,,,,
东部客运枢纽,太平匣东,20路,2,
太平匣东,万福匣东,20路,2,
万福匣东,江广路沙湾北路西,20路,2,
江广路沙湾北路西,江广路京杭北路东,20路,2,
江广路京杭北路东,广陵新城公交首末站,20路,2,
广陵新城公交首末站,工人疗养院,20路,2,
工人疗养院,江扬大桥西,20路,2,
江扬大桥西,名城运河锦园,20路,2,
名城运河锦园,群发化工小区,20路,2,
群发化工小区,扬州高职校,20路,2,
扬州高职校,万福西路,20路,2,
万福西路,五台新村,20路,2,
五台新村,五台山医院,20路,2,
五台山医院,五台山大桥西,20路,2,
五台山大桥西,漕河桥东,20路,2,
漕河桥东,史可法路梅岭东路,20路,2,
史可法路梅岭东路,凤凰桥街,20路,2,
凤凰桥街,友好会馆,20路,2,
友好会馆,四望亭,20路,2,
四望亭,四望亭淮海路西,20路,2,
四望亭淮海路西,扬大师院南门,20路,2,
扬大师院南门,双桥,20路,2,
双桥,石桥,20路,2,
石桥,口岸委,20路,2,
口岸委,东方医院,20路,2,
东方医院,翠岗小区,20路,2,
翠岗小区,邗江中路文昌西路,20路,2,
邗江中路文昌西路,扬大附院西区医院,20路,2,
扬大附院西区医院,邗江区政府,20路,2,
邗江区政府,扬子妇科医院,20路,2,
扬子妇科医院,华夏银行分行,20路,2,
,,,,
京城公交首末站,五彩世界南,21路,2,
五彩世界南,月亮园,21路,2,
