节点名称,区域属性,500M内是否有文保单位/古迹遗址/宗祠故地,线路,500M内文保单位/古迹遗址/宗祠故地的个数,,
关帝庙,鲤城区,是,14路,6,,
棋盘园,鲤城区,是,14路,4,,
津坂路口,丰泽区,否,14路,0,,
水务集团,丰泽区,否,14路,0,,
刺桐公园南门,丰泽区,否,14路,0,,
东美小区,丰泽区,是,14路,1,,
丰泽区政府,丰泽区,否,14路,0,,
妙云街口,丰泽区,否,14路,0,,
客运中心站东门,丰泽区,否,14路,0,,
金帝花园,丰泽区,否,14路,0,,
现代广场,丰泽区,是,14路,2,,
东海街道办事处,丰泽区,是,14路,3,,
黎明大学,丰泽区,是,14路,6,,
宝珊花园,丰泽区,是,14路,4,,
大兴街,丰泽区,是,14路,1,,
霞露口,丰泽区,是,14路,1,,
迎宾馆路口,丰泽区,是,14路,1,,
森林公园,丰泽区,是,14路,1,,
赵厝路口,丰泽区,否,14路,0,,
莲垵,丰泽区,是,14路,1,,
后渚,丰泽区,否,14路,0,,
泉州海警局,丰泽区,否,14路,0,,
市政务中心,丰泽区,否,14路,0,,
市政务中心(双垵街),丰泽区,否,14路,0,,
市政务中心(府东路北段),丰泽区,否,14路,0,,
泉州行政中心,丰泽区,否,14路,0,,
府西路,丰泽区,是,14路,1,,
东海大街口,丰泽区,否,14路,0,,
泉州师院,丰泽区,否,14路,0,,
东梅,丰泽区,否,14路,0,,
霞塘,丰泽区,否,14路,0,,
公交东海站,丰泽区,否,14路,0,,
,,,,,,
客运中心站,丰泽区,否,15路,0,,
坪山路南段,丰泽区,否,15路,0,,
宝洲街口,丰泽区,否,15路,0,,
雅园路口,丰泽区,否,15路,0,,
宝洲街中段,丰泽区,否,15路,0,,
浦西村口,丰泽区,是,15路,1,,
东南医院,丰泽区,是,15路,2,,
泉秀街道办事处,丰泽区,是,15路,1,,
泉秀街西段,丰泽区,否,15路,0,,
海关大楼,丰泽区,否,15路,0,,
温陵路中段,鲤城区,是,15路,3,,
九一街口,鲤城区,是,15路,3,,
东湖公园,鲤城区,是,15路,6,,
东门,鲤城区,是,15路,6,,
红梅新村,鲤城区,是,15路,4,,
泉州电大,鲤城区,是,15路,3,,
学府街东段,鲤城区,是,15路,3,,
泉州外国语学校,鲤城区,是,15路,8,,
泉州一中,鲤城区,是,15路,7,,
学府街西段,鲤城区,是,15路,6,,
普明村,丰泽区,是,15路,2,,
泉山路南段,丰泽区,是,15路,1,,
倒松,丰泽区,否,15路,0,,
干休所路口,丰泽区,否,15路,0,,
技工学校,丰泽区,否,15路,0,,
清源山风景区（910医院路口）,丰泽区,是,15路,1,,
,,,,,,
福厦铁路泉州站,丰泽区,是,17路,1,,
泉州软件园,丰泽区,否,17路,0,,
霞美,丰泽区,否,17路,0,,
曾坑,丰泽区,是,17路,1,,
黄龙大桥头,丰泽区,否,17路,1,,
招贤社区,丰泽区,否,17路,0,,
丰泽实小潘山校区,丰泽区,否,17路,0,,
北清西路,丰泽区,否,17路,0,,
北峰工业区,丰泽区,否,17路,0,,
坑尾路口,丰泽区,否,17路,0,,
西湖公园,丰泽区,否,17路,0,,
邮电公寓,丰泽区,否,17路,0,,
建南花园,丰泽区,否,17路,0,,
新华小区,丰泽区,否,17路,0,,
西湖小区,丰泽区,是,17路,3,,
城北路西段,鲤城区,是,17路,3,,
朝天门,鲤城区,是,17路,5,,
北门街,鲤城区,是,17路,5,,
华侨新村,鲤城区,是,17路,5,,
医大二院鲤城院区,鲤城区,是,17路,7,,
钟楼,鲤城区,是,17路,12,,
泉州一院,鲤城区,是,17路,13,,
东门,鲤城区,是,17路,6,,
东湖影院,丰泽区,是,17路,4,,
田安路北段,丰泽区,否,17路,0,,
闽侨站,丰泽区,否,17路,0,,
青少年宫,丰泽区,否,17路,0,,
丰泽小区,丰泽区,是,17路,2,,
后坂街口,丰泽区,否,17路,0,,
信和站,丰泽区,否,17路,0,,
泉秀街西段,丰泽区,否,17路,0,,
温陵路南段,丰泽区,是,17路,6,,
宝洲街西段,丰泽区,是,17路,3,,
东南医院,丰泽区,是,17路,2,,
浦西村口,丰泽区,是,17路,1,,
宝洲街中段,丰泽区,否,17路,0,,
雅园路口,丰泽区,否,17路,0,,
宝洲花园,丰泽区,否,17路,0,,
董埭路口,丰泽区,否,17路,0,,
云鹿路口,丰泽区,否,17路,0,,
云山小学,丰泽区,否,17路,0,,
北师大附中,丰泽区,否,17路,0,,
,,,,,,
苏夫人姑庙,鲤城区,是,20路,2,,
上村路口,鲤城区,是,20路,2,,
泉海机械,鲤城区,否,20路,0,,
鲤城区教育基地,鲤城区,否,20路,0,,
赤土村口,鲤城区,否,20路,0,,
泉州经贸学院,鲤城区,否,20路,0,,
高新科技园,鲤城区,否,20路,0,,
市中医院,鲤城区,否,20路,0,,
笋江路中段,鲤城区,是,20路,2,,
笋江路东段,鲤城区,是,20路,1,,
浮桥站,鲤城区,是,20路,4,,
霞洲,鲤城区,是,20路,1,,
锦工中路口,鲤城区,是,20路,1,,
王宫,鲤城区,是,20路,1,,
泉州建材市场,鲤城区,是,20路,1,,
上埕路口,鲤城区,是,20路,4,,
浦口,鲤城区,是,20路,1,,
宝洲街西段,丰泽区,是,20路,3,,
东南医院,丰泽区,是,20路,2,,
浦西村口,丰泽区,是,20路,1,,
宝洲街中段,丰泽区,否,20路,0,,
雅园路口,丰泽区,否,20路,0,,
宝洲街口,丰泽区,否,20路,0,,
坪山路南段,丰泽区,否,20路,0,,
客运中心站东门,丰泽区,否,20路,0,,
院前公交站,丰泽区,否,20路,0,,
,,,,,,
西湖公园,丰泽区,否,21路,0,,
邮电公寓,丰泽区,否,21路,0,,
建南花园,丰泽区,否,21路,0,,
西湖街西段,丰泽区,是,21路,1,,
西湖街中段,丰泽区,否,21路,0,,
西湖街东段,丰泽区,是,21路,1,,
普明村,丰泽区,是,21路,2,,
北门街,鲤城区,是,21路,5,,
华侨新村,鲤城区,是,21路,5,,
医大二院鲤城院区,鲤城区,是,21路,7,,
钟楼,鲤城区,是,21路,12,,
承天寺,鲤城区,是,21路,14,,
百源路,鲤城区,是,21路,8,,
府文庙,鲤城区,是,21路,9,,
水门巷口,鲤城区,是,21路,9,,
指挥巷口,鲤城区,是,21路,7,,
义全街口,鲤城区,是,21路,4,,
鲤城公安分局,鲤城区,是,21路,10,,
幸福街口,鲤城区,是,21路,7,,
泉秀街西段,丰泽区,是,21路,2,,
浦西路口,丰泽区,否,21路,0,,
刺桐路口,丰泽区,否,21路,0,,
客运中心站南门,丰泽区,否,21路,0,,
金帝花园,丰泽区,否,21路,0,,
现代广场,丰泽区,是,21路,2,,
东海街道办事处,丰泽区,是,21路,3,,
黎明大学,丰泽区,是,21路,6,,
宝珊花园,丰泽区,是,21路,4,,
法坊路口,丰泽区,否,21路,0,,
霞露口,丰泽区,是,21路,1,,
东海滨城,丰泽区,否,21路,0,,
医大二院东海院区,丰泽区,否,21路,0,,
东海大街中段,丰泽区,否,21路,0,,
东海大街东段,丰泽区,是,21路,1,,
泉州师院,丰泽区,否,21路,0,,
,,,,,,
福厦铁路泉州站,丰泽区,是,22路,1,,
泉州软件园,丰泽区,否,22路,0,,
霞美,丰泽区,否,22路,0,,
曾坑,丰泽区,是,22路,1,,
黄龙大桥头,丰泽区,否,22路,0,,
潘山市场,丰泽区,是,22路,1,,
丰泽实小潘山校区,丰泽区,否,22路,0,,
北清西路,丰泽区,否,22路,0,,
北峰工业区,丰泽区,否,22路,0,,
坑尾路口,丰泽区,否,22路,0,,
西湖公园,丰泽区,否,22路,0,,
邮电公寓,丰泽区,否,22路,0,,
建南花园,丰泽区,否,22路,0,,
新华小区,丰泽区,否,22路,0,,
西湖小区,丰泽区,是,22路,3,,
城北路西段,鲤城区,是,22路,3,,
朝天门,鲤城区,是,22路,5,,
学府街西段,鲤城区,是,22路,6,,
泉州一中,鲤城区,是,22路,7,,
泉州外国语学校,鲤城区,是,22路,8,,
南俊路北段,鲤城区,是,22路,2,,
泉州一院,鲤城区,是,22路,13,,
东门,鲤城区,是,22路,6,,
东湖影院,鲤城区,是,22路,4,,
侨乡体育馆,丰泽区,否,22路,0,,
人才大厦,丰泽区,是,22路,1,,
湖心街口,丰泽区,否,22路,0,,
东方银座,丰泽区,是,22路,1,,
刺桐公园,丰泽区,是,22路,1,,
东美街口,丰泽区,是,22路,2,,
泉秀街口,丰泽区,是,22路,1,,
客运中心站南门,丰泽区,否,22路,0,,
客运中心站东门,丰泽区,否,22路,0,,
妙云街口,丰泽区,否,22路,0,,
,,,,,,
中骏商城S公寓,鲤城区,是,23路,1,,
高新科技园,鲤城区,是,23路,1,,
洋仕村口(市中医院东),鲤城区,是,23路,1,,
樟崎村口,鲤城区,是,23路,4,,
万祥汽车站,鲤城区,否,23路,0,,
池峰路中段,鲤城区,否,23路,0,,
南天裕景,晋江市,否,23路,0,,
桥南片区,晋江市,是,23路,1,,
晋江第三实小路口,晋江市,是,23路,2,,
华洲,晋江市,否,23路,0,,
华洲家装市场,晋江市,是,23路,1,,
温陵路南段,丰泽区,是,23路,6,,
海关大楼,丰泽区,是,23路,2,,
温陵路中段,丰泽区,是,23路,2,,
儿童医院,丰泽区,否,23路,0,,
青少年宫,丰泽区,否,23路,0,,
湖心街中段,丰泽区,否,23路,0,,
线务局,丰泽区,是,23路,1,,
圣墓,丰泽区,是,23路,2,,
坪山路口,丰泽区,否,23路,0,,
明日广场,丰泽区,否,23路,0,,
火车东站,丰泽区,否,23路,0,,
,,,,,,
万祥汽车站,鲤城区,否,24路,0,,
乌石路口,鲤城区,否,24路,0,,
国防教育中心,鲤城区,是,24路,1,,
火炬工业区路口,鲤城区,是,24路,1,,
浦口,鲤城区,是,24路,4,,
上埕路口,鲤城区,是,24路,4,,
泉州建材市场,鲤城区,是,24路,3,,
王宫,鲤城区,是,24路,1,,
锦工中路口,鲤城区,是,24路,1,,
霞洲,鲤城区,是,24路,4,,
浮桥站,鲤城区,是,24路,4,,
三千坛,鲤城区,是,24路,5,,
蔬菜公司,鲤城区,是,24路,5,,
甲第巷口,鲤城区,是,24路,3,,
新门菜市,鲤城区,是,24路,11,,
新门街头,鲤城区,是,24路,9,,
水门巷口,鲤城区,是,24路,9,,
指挥巷口,鲤城区,是,24路,7,,
义全街口,鲤城区,是,24路,4,,
鲤城公安分局,鲤城区,是,24路,10,,
幸福街口,鲤城区,是,24路,7,,
温陵路南段,丰泽区,是,24路,6,,
宝洲街西段,丰泽区,是,24路,3,,
东南医院,丰泽区,是,24路,2,,
浦西村口,丰泽区,是,24路,1,,
宝洲街中段,丰泽区,否,24路,0,,
丰泽交警大队,丰泽区,否,24路,0,,
