前一节点,后一节点,线路名称,票价,区域属性,间距(km)
太原路联盟路口,景华路太原路口,6路,1,涧西区,
景华路太原路口,景华路皖中路口,6路,1,涧西区,
景华路皖中路口,天津路景华路口北,6路,1,涧西区,
天津路景华路口北,天津路中州西路口南,6路,1,涧西区,
天津路中州西路口南,周山大道中州西路口,6路,1,涧西区,
周山大道中州西路口,周山大道建设路口北,6路,1,涧西区,
周山大道建设路口北,周山大道中鑫巷口,6路,1,涧西区,
周山大道中鑫巷口,周山大道符家屯路口,6路,1,涧西区,
周山大道符家屯路口,芳华路周山大道口,6路,1,涧西区,
芳华路周山大道口,符家屯,6路,1,涧西区,
符家屯,芳华路符家屯东街口,6路,1,涧西区,
芳华路符家屯东街口,同乐寨西,6路,1,涧西区,
同乐寨西,芳华路嵩山路口,6路,1,涧西区,
芳华路嵩山路口,纱厂西路建福路口,6路,1,涧西区,
纱厂西路建福路口,纱厂西路王城大道口东,6路,1,西工区,
纱厂西路王城大道口东,纱厂路口西,6路,1,西工区,
纱厂路口西,纱厂路口东,6路,1,西工区,
纱厂路口东,纱厂东路解放路口,6路,1,西工区,
纱厂东路解放路口,纱厂东路金谷园路口,6路,1,西工区,
纱厂东路金谷园路口,金谷园路春晴路口,6路,1,西工区,
金谷园路春晴路口,洛阳站,6路,1,西工区,
,,,,,
东花坛,启明南路熙春路口,7路,1,瀍河回族区,
启明南路熙春路口,启明南路九都东路口,7路,1,瀍河回族区,
启明南路九都东路口,九都东路桂园路口,7路,1,瀍河回族区,
九都东路桂园路口,九都东路华林路口东,7路,1,瀍河回族区,
九都东路华林路口东,洛邑古城,7路,1,瀍河回族区,
洛邑古城,洛八办,7路,1,老城区,
洛八办,九都东路饮马街口西,7路,1,老城区,
九都东路饮马街口西,定鼎立交桥东,7路,1,老城区,
定鼎立交桥东,定鼎立交桥西,7路,1,老城区,
定鼎立交桥西,九都路嘉豫门大街口西,7路,1,西工区,
九都路嘉豫门大街口西,九都路七一路口西,7路,1,西工区,
九都路七一路口西,九都路体育场路口,7路,1,西工区,
九都路体育场路口,东下池,7路,1,西工区,
东下池,九都路解放路口西,7路,1,西工区,
九都路解放路口西,西下池,7路,1,西工区,
西下池,九都路王城大道口东,7路,1,西工区,
九都路王城大道口东,九都路王城大道口西,7路,1,西工区,
九都路王城大道口西,九都路涧东路口西,7路,1,西工区,
九都路涧东路口西,九都路上阳路口西,7路,1,西工区,
九都路上阳路口西,九都西路黄河路口西,7路,1,西工区,
九都西路黄河路口西,九都西路珠江路口西,7路,1,涧西区,
九都西路珠江路口西,九都西路丽新路口西,7路,1,涧西区,
九都西路丽新路口西,南昌路九都西路口南,7路,1,涧西区,
南昌路九都西路口南,南昌路丽春路口,7路,1,涧西区,
南昌路丽春路口,南昌路乐山路口北,7路,1,涧西区,
南昌路乐山路口北,南苑小区,7路,1,涧西区,
南苑小区,南苑路南昌路口,7路,1,涧西区,
,,,,,
西关,中州中路定鼎大道口,8路,1,老城区,
中州中路定鼎大道口,应天门,8路,1,老城区,
应天门,凯旋东路定鼎大道口西,8路,1,西工区,
凯旋东路定鼎大道口西,凯旋东路嘉豫门大街口,8路,1,西工区,
凯旋东路嘉豫门大街口,凯旋东路七一路口,8路,1,西工区,
凯旋东路七一路口,凯旋西路人民西路口,8路,1,西工区,
凯旋西路人民西路口,凯旋西路八一路口,8路,1,西工区,
凯旋西路八一路口,凯旋西路解放路口,8路,1,西工区,
凯旋西路解放路口,凯旋西路纱厂南路口,8路,1,西工区,
凯旋西路纱厂南路口,王城大道行署路口,8路,1,西工区,
王城大道行署路口,九都路王城大道口西,8路,1,西工区,
九都路王城大道口西,九都路涧东路口西,8路,1,西工区,
九都路涧东路口西,九都路上阳路口西,8路,1,西工区,
九都路上阳路口西,九都西路黄河路口西,8路,1,西工区,
九都西路黄河路口西,九都西路珠江路口西,8路,1,涧西区,
九都西路珠江路口西,九都西路丽新路口西,8路,1,涧西区,
九都西路丽新路口西,西苑公园,8路,1,涧西区,
西苑公园,牡丹城,8路,1,涧西区,
牡丹城,牡丹广场,8路,1,涧西区,
牡丹广场,西苑路天津路口,8路,1,涧西区,
西苑路天津路口,西苑路牡丹路口,8路,1,涧西区,
西苑路牡丹路口,西苑路长安路口,8路,1,涧西区,
西苑路长安路口,西苑路郑州路口,8路,1,涧西区,
西苑路郑州路口,西苑路武汉路口(招呼站),8路,1,涧西区,
西苑路武汉路口(招呼站),武汉南路西苑路口南,8路,1,涧西区,
武汉南路西苑路口南,武汉南路联盟路口南,8路,1,涧西区,
武汉南路联盟路口南,武汉南路南华路口南,8路,1,涧西区,
武汉南路南华路口南,武汉南路蓬莱路口北,8路,1,涧西区,
武汉南路蓬莱路口北,蓬莱路武汉南路口东,8路,1,涧西区,
,,,,,
东花坛,启明南路熙春路口,10路,1,瀍河回族区,
启明南路熙春路口,中州东路洛川街口,10路,1,瀍河回族区,
中州东路洛川街口,中州东路夹马营路口,10路,1,瀍河回族区,
中州东路夹马营路口,瀍河桥东,10路,1,瀍河回族区,
瀍河桥东,新街中州东路口北,10路,1,瀍河回族区,
新街中州东路口北,新街唐宫东路口,10路,1,老城区,
新街唐宫东路口,玄武门大街人民街口,10路,1,老城区,
玄武门大街人民街口,玄武门大街平等街口,10路,1,瀍河回族区,
玄武门大街平等街口,大北门,10路,1,瀍河回族区,
大北门,玄武门大街建安街口,10路,1,瀍河回族区,
玄武门大街建安街口,玄武门大街承福门大街口,10路,1,老城区,
玄武门大街承福门大街口,玄武门大街零担货场东,10路,1,老城区,
玄武门大街零担货场东,玄武门大街定鼎大道口东,10路,1,老城区,
玄武门大街定鼎大道口东,玄武门大街嘉豫门大街口,10路,1,老城区,
玄武门大街嘉豫门大街口,玄武门大街光华路口,10路,1,西工区,
玄武门大街光华路口,玄武门大街丹城路口,10路,1,西工区,
玄武门大街丹城路口,金谷园路春晴路口,10路,1,西工区,
金谷园路春晴路口,金谷园路健康东路口,10路,1,西工区,
金谷园路健康东路口,唐宫西路八一路口,10路,1,西工区,
唐宫西路八一路口,唐宫西路解放路口,10路,1,西工区,
唐宫西路解放路口,唐宫西路纱厂南路口,10路,1,西工区,
唐宫西路纱厂南路口,唐宫西路芳林路口,10路,1,西工区,
唐宫西路芳林路口,王城大道中州中路口,10路,1,西工区,
王城大道中州中路口,王城公园,10路,1,西工区,
王城公园,涧东路中州中路口,10路,1,西工区,
涧东路中州中路口,涧东路凯旋西路口,10路,1,西工区,
涧东路凯旋西路口,涧东路行署路口,10路,1,西工区,
涧东路行署路口,丽春东路涧东路口,10路,1,西工区,
丽春东路涧东路口,上阳路丽春东路口,10路,1,西工区,
上阳路丽春东路口,上阳路丽春东路口南,10路,1,西工区,
,,,,,
洛阳站,解放路春晴路口,11路,1,西工区,
解放路春晴路口,解放路纱厂东路口,11路,1,西工区,
解放路纱厂东路口,解放路唐宫西路口,11路,1,西工区,
解放路唐宫西路口,解放路中州中路口,11路,1,西工区,
解放路中州中路口,中州中路解放路口,11路,1,西工区,
中州中路解放路口,王城公园,11路,1,西工区,
王城公园,七里河站,11路,1,西工区,
七里河站,延安路珠江路口,11路,1,涧西区,
延安路珠江路口,景华路长春路口,11路,1,涧西区,
景华路长春路口,景华路太原路口,11路,1,涧西区,
景华路太原路口,景华路皖中路口,11路,1,涧西区,
景华路皖中路口,天津路景华路口南,11路,1,涧西区,
天津路景华路口南,天津路联盟路口北站,11路,1,涧西区,
天津路联盟路口北站,天津路联盟路口,11路,1,涧西区,
天津路联盟路口,天津路浅井西路口,11路,1,涧西区,
天津路浅井西路口,八一礼堂,11路,1,涧西区,
八一礼堂,周山大道天津路口,11路,1,涧西区,
周山大道天津路口,周山大道丽春西路口,11路,1,涧西区,
,,,,,
中州东路公交停车场,中州东路机车厂路口,17路,1,瀍河回族区,
中州东路机车厂路口,中州东路三川大道口,17路,1,瀍河回族区,
中州东路三川大道口,塔西,17路,1,瀍河回族区,
塔西,中州东路启明南路口,17路,1,瀍河回族区,
中州东路启明南路口,启明南路九都东路口,17路,1,瀍河回族区,
启明南路九都东路口,九都东路桂园路口,17路,1,瀍河回族区,
