前一节点,后一节点,线路名称,票价,区域属性,间距(km)
张家村(兴苑路),下窑,148路,1,西山区,
下窑,益宁路口(兴苑路),148路,1,西山区,
益宁路口(兴苑路),马街,148路,1,西山区,
,,,,,
翠湖东门,圆通街,Z5路,1,五华区,
圆通街,穿心鼓楼(穿金路),Z5路,1,五华区,
穿心鼓楼(穿金路),席子营(穿金路),Z5路,1,盘龙区,
席子营(穿金路),席子营社区,Z5路,1,盘龙区,
席子营社区,穿金路中段,Z5路,1,盘龙区,
穿金路中段,穿金路口(白云路),Z5路,1,盘龙区,
穿金路口(白云路),白云路东段,Z5路,1,盘龙区,
白云路东段,白龙路口(白云路),Z5路,1,盘龙区,
白龙路口(白云路),昆明德韩口腔医院(石闸立交桥),Z5路,1,盘龙区,
昆明德韩口腔医院(石闸立交桥),石闸立交桥(二环东路),Z5路,1,盘龙区,
石闸立交桥(二环东路),昙华寺(二环东路),Z5路,1,盘龙区,
昙华寺(二环东路),二环东路口(景泰街),Z5路,1,盘龙区,
二环东路口(景泰街),百丽园小区,Z5路,1,盘龙区,
百丽园小区,紫骏苑小区,Z5路,1,盘龙区,
,,,,,
小菜园立交桥,鼓楼路1,100路,1,五华区,
鼓楼路1,圆通山,100路,1,五华区,
圆通山,圆通街,100路,1,五华区,
圆通街,云南大学(青云街),100路,1,五华区,
云南大学(青云街),翠湖北路,100路,1,五华区,
翠湖北路,科技馆,100路,1,五华区,
科技馆,潘家湾地铁站(小西门),100路,1,五华区,
潘家湾地铁站(小西门),潘家湾(人民西路),100路,1,五华区,
潘家湾(人民西路),环城西路口(人民西路),100路,1,五华区,
环城西路口(人民西路),赵家堆,100路,1,五华区,
赵家堆,人民西路口(西园路),100路,1,五华区,
人民西路口(西园路),丹霞路口(西园路),100路,1,西山区,
丹霞路口(西园路),昆五中,100路,1,西山区,
昆五中,大观楼(大观路),100路,1,西山区,
大观楼(大观路),明波路,100路,1,西山区,
明波路,明波村,100路,1,西山区,
明波村,明河路东口,100路,1,西山区,
明河路东口,鸿运小区,100路,1,西山区,
鸿运小区,小河埂(碧鸡路),100路,1,西山区,
小河埂(碧鸡路),西三环路口(碧鸡路),100路,1,西山区,
西三环路口(碧鸡路),苏家村(碧鸡路),100路,1,西山区,
苏家村(碧鸡路),碧鸡路口(大渔路),100路,1,西山区,
碧鸡路口(大渔路),鲜花大道路口,100路,1,西山区,
鲜花大道路口,草海公交首末站,100路,1,西山区,
,,,,,
小菜园立交桥,鼓楼路2,101路,1,五华区,
鼓楼路2,圆通山,101路,1,五华区,
圆通山,圆通街,101路,1,五华区,
圆通街,云南大学(青云街),101路,1,五华区,
云南大学(青云街),府甬道,101路,1,五华区,
府甬道,建设路1,101路,1,五华区,
建设路1,西站,101路,1,五华区,
西站,虹山南路口(滇缅大道),101路,1,五华区,
虹山南路口(滇缅大道),昆医附二院,101路,1,五华区,
昆医附二院,春晖小区,101路,1,五华区,
春晖小区,西园路口(茭菱路),101路,1,五华区,
西园路口(茭菱路),茭菱路口(近华浦路),101路,1,五华区,
茭菱路口(近华浦路),人民西路口(近华浦路),101路,1,五华区,
人民西路口(近华浦路),春苑小区1,101路,1,西山区,
春苑小区1,秋苑小区(昆州路),101路,1,西山区,
秋苑小区(昆州路),梁源小区,101路,1,西山区,
梁源小区,西山区政府(丽苑路),101路,1,西山区,
西山区政府(丽苑路),丽苑路西段,101路,1,西山区,
丽苑路西段,梁源三区,101路,1,西山区,
梁源三区,张家村(兴苑路),101路,1,西山区,
张家村(兴苑路),华苑路,101路,1,西山区,
华苑路,岷山车场,101路,1,五华区,
,,,,,
小屯路公交停车场,研科路口(昆武辅道),90路,1,五华区,
研科路口(昆武辅道),大塘路口(昆武辅道),90路,1,五华区,
大塘路口(昆武辅道),黄土坡立交桥北口,90路,1,五华区,
黄土坡立交桥北口,黄土坡,90路,1,五华区,
黄土坡,普吉路口(滇缅大道),90路,1,五华区,
普吉路口(滇缅大道),麻园(滇缅大道)2,90路,1,五华区,
麻园(滇缅大道)2,昆医附二院,90路,1,五华区,
昆医附二院,春晖小区,90路,1,五华区,
春晖小区,人民西路口(西园路),90路,1,五华区,
人民西路口(西园路),丹霞路口(西园路),90路,1,西山区,
丹霞路口(西园路),920医院,90路,1,西山区,
920医院,环西路(大观路),90路,1,西山区,
环西路(大观路),篆塘(大观路),90路,1,西山区,
篆塘(大观路),弥勒寺(金碧路),90路,1,西山区,
弥勒寺(金碧路),靖国路口,90路,1,西山区,
靖国路口,金马坊,90路,1,西山区,
金马坊,巡津街,90路,1,西山区,
巡津街,南坝路,90路,1,西山区,
南坝路,永平路口(南坝路),90路,1,西山区,
永平路口(南坝路),福达路口(官南大道),90路,1,西山区,
福达路口(官南大道),锦苑花园(官南大道),90路,1,官渡区,
锦苑花园(官南大道),小街(官南大道),90路,1,官渡区,
小街(官南大道),时代风华小区(官南大道),90路,1,官渡区,
时代风华小区(官南大道),陈家庄,90路,1,官渡区,
陈家庄,假日湾小区(锦西路),90路,1,官渡区,
,,,,,
阳光花园小区(日新西路),正和小区,91路,1,西山区,
正和小区,福海乡,91路,1,西山区,
福海乡,老年活动中心,91路,1,西山区,
老年活动中心,金牛小区,91路,1,西山区,
金牛小区,昆明冠生园(严家地),91路,1,西山区,
昆明冠生园(严家地),华昌路口(环城南路),91路,1,西山区,
华昌路口(环城南路),双龙桥,91路,1,西山区,
双龙桥,巡津街,91路,1,西山区,
巡津街,得胜桥(青年路),91路,1,西山区,
得胜桥(青年路),南太桥(青年路),91路,1,五华区,
南太桥(青年路),小花园(青年路),91路,1,五华区,
小花园(青年路),青年路2,91路,1,五华区,
青年路2,穿心鼓楼(穿金路),91路,1,五华区,
穿心鼓楼(穿金路),席子营(穿金路),91路,1,盘龙区,
席子营(穿金路),席子营社区,91路,1,盘龙区,
席子营社区,穿金路中段,91路,1,盘龙区,
穿金路中段,小坝(穿金路),91路,1,盘龙区,
小坝(穿金路),小坝立交桥,91路,1,盘龙区,
小坝立交桥,穿金路,91路,1,盘龙区,
穿金路,北辰大道路口(穿金路),91路,1,盘龙区,
