前一节点,后一节点,线路名称,票价,区域属性,间距(km)
川东五路,川东五路南,18路,2,灵川县,
川东五路南,中山中学,18路,2,灵川县,
中山中学,春江路,18路,2,叠彩区,
春江路,站前路东,18路,2,叠彩区,
站前路东,滨北路,18路,2,叠彩区,
,,,,,
桂林站,桂青路,19路,2,象山区,
桂青路,南溪医院,19路,2,象山区,
南溪医院,瓦窑口,19路,2,象山区,
瓦窑口,平山,19路,2,象山区,
平山,八中路口,19路,2,象山区,
八中路口,凯风路北,19路,2,象山区,
凯风路北,相人山路口,19路,2,象山区,
相人山路口,相人山路中,19路,2,象山区,
相人山路中,相人山路西,19路,2,象山区,
相人山路西,夕阳红疗养院,19路,2,象山区,
夕阳红疗养院,西村,19路,2,象山区,
西村,交通疗养院,19路,2,象山区,
交通疗养院,党校,19路,2,象山区,
党校,桂林康复中心,19路,2,象山区,
,,,,,
绢坊厂,化机路口,21路,2,象山区,
化机路口,化机分厂,21路,2,象山区,
化机分厂,遇龙路,21路,2,象山区,
遇龙路,猴山社区,21路,2,象山区,
猴山社区,市政公司,21路,2,象山区,
市政公司,将军路口,21路,2,象山区,
将军路口,公交铁西车场,21路,2,象山区,
公交铁西车场,象山区政府,21路,2,象山区,
象山区政府,东安街口,21路,2,象山区,
东安街口,西门菜市,21路,2,象山区,
西门菜市,少年宫,21路,2,象山区,
少年宫,信义丽君路口,21路,2,象山区,
信义丽君路口,信义市场,21路,2,秀峰区,
信义市场,观漪桥,21路,2,秀峰区,
观漪桥,艺术馆,21路,2,秀峰区,
艺术馆,十字街(解放西路),21路,2,秀峰区,
十字街(解放西路),解放桥,21路,2,秀峰区,
解放桥,七星公园,21路,2,秀峰区,
七星公园,建干路口,21路,2,七星区,
建干路口,桂林理工大学,21路,2,七星区,
桂林理工大学,彭家岭,21路,2,七星区,
彭家岭,公交东环车场,21路,2,七星区,
,,,,,
广西师大,育才路口,30路,2,七星区,
育才路口,三里店广场北口,30路,2,七星区,
三里店广场北口,三里店广场西口,30路,2,七星区,
三里店广场西口,漓江路,30路,2,七星区,
漓江路,辅星路,30路,2,七星区,
辅星路,望城岗,30路,2,七星区,
望城岗,龙隐路,30路,2,七星区,
龙隐路,龙隐桥,30路,2,七星区,
龙隐桥,七星公园,30路,2,七星区,
七星公园,解放桥,30路,2,七星区,
解放桥,十字街(解放东路),30路,2,秀峰区,
十字街(解放东路),十字街(解放西路),30路,2,秀峰区,
十字街(解放西路),艺术馆,30路,2,秀峰区,
艺术馆,翊武路,30路,2,秀峰区,
翊武路,宝贤桥,30路,2,秀峰区,
宝贤桥,西清湖,30路,2,叠彩区,
西清湖,观音阁,30路,2,叠彩区,
观音阁,北极广场,30路,2,叠彩区,
北极广场,清风路,30路,2,叠彩区,
清风路,虞山桥,30路,2,叠彩区,
