节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,300M内文保单位/古迹遗址/宗祠故地的个数
艺术馆,秀峰区,30路,6,3
翊武路,秀峰区,30路,7,3
宝贤桥,叠彩区,30路,5,2
西清湖,叠彩区,30路,4,1
观音阁,叠彩区,30路,5,1
北极广场,叠彩区,30路,1,0
清风路,叠彩区,30路,1,0
虞山桥,七星区,30路,0,0
桂林医学院(分部),七星区,30路,0,0
花鸟市场,七星区,30路,0,0
彭家岭,七星区,30路,0,0
公交东环车场,七星区,30路,0,0
,,,,
十字街(解放西路),秀峰区,301路,6,3
艺术馆,秀峰区,301路,6,3
翊武路,秀峰区,301路,7,3
凤北路口,叠彩区,301路,7,3
观音阁,叠彩区,301路,5,1
北极广场,叠彩区,301路,1,0
清风路,叠彩区,301路,1,0
虞山桥,叠彩区,301路,0,0
春江道,叠彩区,301路,0,0
永彩路(临时站),叠彩区,301路,0,0
芳华路,叠彩区,301路,0,0
南洲大桥南,叠彩区,301路,0,0
站前路东,叠彩区,301路,1,1
春江路,叠彩区,301路,0,0
中山中学,叠彩区,301路,0,0
八里一路东,灵川县,301路,0,0
川东二路中,灵川县,301路,0,0
川东二路,灵川县,301路,0,0
八里六路,灵川县,301路,0,0
大面路口,灵川县,301路,0,0
粑粑厂,灵川县,301路,0,0
灵川大道,灵川县,301路,0,0
东家厂,灵川县,301路,0,0
高速路口,灵川县,301路,0,0
水泥厂路口,灵川县,301路,0,0
社田江,灵川县,301路,0,0
禾家铺,灵川县,301路,0,0
百花路口,灵川县,301路,0,0
县质监局,灵川县,301路,0,0
县交警大队,灵川县,301路,0,0
二小路口,灵川县,301路,0,0
潭下路口,灵川县,301路,0,0
钢厂路口,灵川县,301路,0,0
县公路局,灵川县,301路,0,0
一小路口,灵川县,301路,0,0
县检查院,灵川县,301路,0,0
城湘路口,灵川县,301路,0,0
公交灵川临时车场,灵川县,301路,0,0
,,,,
琴潭汽车客运站,秀峰区,23路,0,0
红岭路南口,秀峰区,23路,0,0
红岭路北口,秀峰区,23路,0,0
东安红岭路口,秀峰区,23路,0,0
东安路中,秀峰区,23路,0,0
西门菜市,象山区,23路,1,1
西门桥,象山区,23路,3,2
西城路口,象山区,23路,8,1
文明路,象山区,23路,8,3
象山公园,象山区,23路,11,9
民主路,象山区,23路,0,0
安新小区北口,象山区,23路,0,0
安新小区,象山区,23路,0,0
穿山桥,七星区,23路,0,0
辅星路口,七星区,23路,0,0
毅峰路口,七星区,23路,0,0
体育中心,七星区,23路,0,0
碧水康城(临时站),七星区,23路,0,0
穿山东路中,七星区,23路,0,0
穿山东路尾,七星区,23路,0,0
和平村,七星区,23路,0,0
五里店路,七星区,23路,0,0
青岭路,七星区,23路,0,0
鸾东小区,七星区,23路,0,0
石油六公司,七星区,23路,0,0
五里店,七星区,23路,0,0
,,,,
篦子园,秀峰区,209路,0,0
篦子园菜市,秀峰区,209路,0,0
篦子园口,秀峰区,209路,0,0
秀峰交警,秀峰区,209路,0,0
西山公园,秀峰区,209路,2,1
西湖苑,秀峰区,209路,3,1
信义路口,秀峰区,209路,3,0
观漪桥,秀峰区,209路,5,0
艺术馆,秀峰区,209路,6,3
十字街(解放西路),秀峰区,209路,6,3
十字街(解放东路),秀峰区,209路,7,3
解放桥,秀峰区,209路,7,4
五通社区,七星区,209路,2,0
临江路,七星区,209路,0,0
上关路,七星区,209路,2,0
,,,,
十字街(解放东路),秀峰区,203路,7,3
乐群路口,秀峰区,203路,7,3
凤北路口,秀峰区,203路,7,3
