节点名称,区域属性,线路,500M内文保单位/古迹遗址/宗祠故地的个数,800M内文保单位/古迹遗址/宗祠故地的个数
黄土坡立交桥北口,五华区,90路,1,1
黄土坡,五华区,90路,1,1
普吉路口(滇缅大道),五华区,90路,0,0
麻园(滇缅大道)2,五华区,90路,0,0
昆医附二院,五华区,90路,1,1
春晖小区,五华区,90路,0,0
人民西路口(西园路),西山区,90路,0,0
丹霞路口(西园路),西山区,90路,1,1
920医院,西山区,90路,1,1
环西路(大观路),西山区,90路,0,0
篆塘(大观路),西山区,90路,0,0
弥勒寺(金碧路),西山区,90路,0,7
靖国路口,西山区,90路,2,7
金马坊,西山区,90路,6,20
巡津街,西山区,90路,2,9
南坝路,西山区,90路,0,0
永平路口(南坝路),西山区,90路,0,0
福达路口(官南大道),官渡区,90路,0,1
锦苑花园(官南大道),官渡区,90路,0,0
小街(官南大道),官渡区,90路,0,1
时代风华小区(官南大道),官渡区,90路,0,0
陈家庄,官渡区,90路,0,0
假日湾小区(锦西路),官渡区,90路,0,0
,,,,
阳光花园小区(日新西路),西山区,91路,0,0
正和小区,西山区,91路,0,0
福海乡,西山区,91路,0,0
老年活动中心,西山区,91路,0,0
金牛小区,西山区,91路,0,0
昆明冠生园(严家地),西山区,91路,0,0
华昌路口(环城南路),西山区,91路,0,0
双龙桥,西山区,91路,0,0
巡津街,西山区,91路,2,9
得胜桥(青年路),五华区,91路,4,10
南太桥(青年路),五华区,91路,6,10
小花园(青年路),五华区,91路,3,12
青年路2,五华区,91路,4,12
穿心鼓楼(穿金路),盘龙区,91路,0,0
席子营(穿金路),盘龙区,91路,0,0
席子营社区,盘龙区,91路,0,0
穿金路中段,盘龙区,91路,0,0
小坝(穿金路),盘龙区,91路,1,1
小坝立交桥,盘龙区,91路,1,1
穿金路,盘龙区,91路,0,0
北辰大道路口(穿金路),盘龙区,91路,0,0
波罗村,盘龙区,91路,0,0
省精神病医院,盘龙区,91路,0,0
煤机新村,盘龙区,91路,0,0
铂金大道,盘龙区,91路,0,0
铂金大道中段,盘龙区,91路,0,0
江东花城,盘龙区,91路,0,0
