前一节点,后一节点,线路名称,票价,区域属性
内环路·公交五公司,汴京桥,9路,1,鼓楼区
汴京桥,汴京公园,9路,1,顺河回族区
汴京公园,公园路·汴京路,9路,1,顺河回族区
公园路·汴京路,宋门外,9路,1,顺河回族区
宋门外,节水办,9路,1,顺河回族区
节水办,大花园,9路,1,顺河回族区
大花园,重工路南口,9路,1,顺河回族区
重工路南口,东货场,9路,1,顺河回族区
东货场,市政机械厂,9路,1,顺河回族区
市政机械厂,羊尾铺,9路,1,顺河回族区
羊尾铺,汽车配件公司,9路,1,顺河回族区
汽车配件公司,百塔,9路,1,顺河回族区
百塔,城东粮食储备库,9路,1,顺河回族区
城东粮食储备库,皮屯,9路,1,顺河回族区
皮屯,祥符区西口,9路,1,顺河回族区
祥符区西口,青年路口,9路,1,祥符区
青年路口,祥符市场,9路,1,祥符区
祥符市场,祥符大道·园区路,9路,1,祥符区
祥符大道·园区路,祥符大道南口,9路,1,祥符区
,,,,
三里堡,开封市肿瘤医院,10路,1,禹王台区
开封市肿瘤医院,五福路西口,10路,1,禹王台区
五福路西口,医院前街西口,10路,1,鼓楼区
医院前街西口,一木,10路,1,鼓楼区
一木,西郊商场(西环路),10路,1,鼓楼区
西郊商场(西环路),汉兴路东口,10路,1,龙亭区
汉兴路东口,西环路·向阳路,10路,1,龙亭区
西环路·向阳路,包公祠,10路,1,龙亭区
包公祠,西司桥,10路,1,鼓楼区
西司桥,开封市眼病医院,10路,1,鼓楼区
开封市眼病医院,行宫角,10路,1,鼓楼区
行宫角,鼓楼广场,10路,1,鼓楼区
鼓楼广场,学院门,10路,1,鼓楼区
学院门,东司门,10路,1,鼓楼区
东司门,右司官口,10路,1,龙亭区
右司官口,北道门,10路,1,顺河回族区
北道门,明伦街,10路,1,顺河回族区
明伦街,河大老校区南门,10路,1,顺河回族区
河大老校区南门,苹果园,10路,1,顺河回族区
苹果园,河大老校区东门,10路,1,顺河回族区
河大老校区东门,河大仁和公寓,10路,1,龙亭区
河大仁和公寓,东环北路·东京大道,10路,1,龙亭区
东环北路·东京大道,东环北路仁和新苑北路,10路,1,龙亭区
东环北路仁和新苑北路,劳动路北段,10路,1,龙亭区
劳动路北段,劳动路东京大道,10路,1,龙亭区
劳动路东京大道,仁和苑小区,10路,1,龙亭区
,,,,
水稻乡·马头村,水稻乡,11路,1,龙亭区
水稻乡,单寨,11路,1,龙亭区
单寨,开封市廉政文化教育中心,11路,1,龙亭区
开封市廉政文化教育中心,金明大道稻一路,11路,1,龙亭区
金明大道稻一路,金明大道·连霍高速,11路,1,龙亭区
金明大道·连霍高速,喜台村,11路,1,龙亭区
喜台村,金明大道·天马广场,11路,1,龙亭区
金明大道·天马广场,河大新校区西门,11路,1,龙亭区
河大新校区西门,河大新校区小西门,11路,1,龙亭区
河大新校区小西门,省税校(金明大道),11路,1,龙亭区
省税校(金明大道),市政协,11路,1,龙亭区
市政协,金明广场·中原银行开封分行,11路,1,龙亭区
金明广场·中原银行开封分行,开封市财政局,11路,1,龙亭区
开封市财政局,大梁路夷山大街,11路,1,龙亭区
大梁路夷山大街,大梁路·武夷街,11路,1,龙亭区
大梁路·武夷街,大梁路·黄河大街,11路,1,龙亭区
大梁路·黄河大街,马市街,11路,1,龙亭区
马市街,大梁门,11路,1,龙亭区
大梁门,城隍庙后街,11路,1,龙亭区
城隍庙后街,西门大街·迎宾路,11路,1,龙亭区
西门大街·迎宾路,新街口,11路,1,龙亭区
新街口,书店街北口,11路,1,龙亭区
书店街北口,东司门,11路,1,龙亭区
东司门,学院门,11路,1,龙亭区
学院门,汴京桥,11路,1,鼓楼区
汴京桥,内环路公交五公司,11路,1,顺河回族区
,,,,
小李庄公交场站,河大仁和公寓,12路,1,龙亭区
河大仁和公寓,河大老校区东门,12路,1,龙亭区
河大老校区东门,苹果园,12路,1,龙亭区
苹果园,三教堂街·体育公园,12路,1,顺河回族区
三教堂街·体育公园,曹门,12路,1,顺河回族区
曹门,仪表厂生活区,12路,1,顺河回族区
仪表厂生活区,公园路·汴京路,12路,1,顺河回族区
公园路·汴京路,宋门外,12路,1,顺河回族区
宋门外,农机岗,12路,1,顺河回族区
农机岗,钢材市场,12路,1,顺河回族区
钢材市场,侯庄桥,12路,1,禹王台区
侯庄桥,禹王台西门,12路,1,禹王台区
禹王台西门,铁北街,12路,1,禹王台区
铁北街,开封高中,12路,1,禹王台区
,,,,
宋城路站·公交六公司,宋城路·集英街站,13路,1,龙亭区
宋城路·集英街站,龙成香榭里西门,13路,1,龙亭区
龙成香榭里西门,龙成香榭里,13路,1,龙亭区
龙成香榭里,康禧园,13路,1,龙亭区
康禧园,开封网通公司,13路,1,龙亭区
开封网通公司,金明小学,13路,1,龙亭区
金明小学,金明东街·晋安路,13路,1,龙亭区
金明东街·晋安路,市发改委,13路,1,龙亭区
市发改委,市财政局,13路,1,龙亭区
市财政局,大梁路·夷山大街,13路,1,龙亭区
大梁路·夷山大街,大梁路·武夷街,13路,1,龙亭区
大梁路·武夷街,大梁路·黄河大街,13路,1,龙亭区
大梁路·黄河大街,马市街,13路,1,龙亭区
马市街,大梁门,13路,1,龙亭区
大梁门,城隍庙后街,13路,1,龙亭区
城隍庙后街,西门大街·迎宾路,13路,1,龙亭区
西门大街·迎宾路,新街口·兴盛德花生老店,13路,1,龙亭区
新街口·兴盛德花生老店,鼓楼广场,13路,1,龙亭区
鼓楼广场,学院门,13路,1,鼓楼区
学院门,汴京桥,13路,1,鼓楼区
汴京桥,汴京公园,13路,1,顺河回族区
汴京公园,劳动路口,13路,1,顺河回族区
劳动路口,供水总公司,13路,1,顺河回族区
供水总公司,化建生活区,13路,1,顺河回族区
化建生活区,开封市人民医院,13路,1,顺河回族区
开封市人民医院,客运东站,13路,1,顺河回族区
,,,,
宋城路站·公交六公司,宋城路·集英街,14路,1,龙亭区
宋城路·集英街,集英街·宋城路,14路,1,龙亭区
集英街·宋城路,周天路·集英街,14路,1,龙亭区
周天路·集英街,黄河社区,14路,1,龙亭区
黄河社区,金明大道·北宋官瓷艺术博物馆,14路,1,龙亭区
金明大道·北宋官瓷艺术博物馆,豪德贸易广场,14路,1,龙亭区
豪德贸易广场,广电中心,14路,1,龙亭区
广电中心,康乐西口,14路,1,龙亭区
康乐西口,南正门,14路,1,龙亭区
南正门,三毛未来购物广场,14路,1,龙亭区
三毛未来购物广场,城西办事处,14路,1,龙亭区
城西办事处,汉兴路东口,14路,1,龙亭区
汉兴路东口,西环路·向阳路,14路,1,龙亭区
西环路·向阳路,包公祠,14路,1,龙亭区
包公祠,西司桥,14路,1,鼓楼区
西司桥,开封市眼病医院,14路,1,鼓楼区
开封市眼病医院,行宫角,14路,1,鼓楼区
行宫角,新街口兴盛德花生老店,14路,1,鼓楼区
新街口兴盛德花生老店,新街口,14路,1,龙亭区
新街口,书店街北口,14路,1,龙亭区
书店街北口,东司门,14路,1,龙亭区
东司门,白衣阁,14路,1,龙亭区
白衣阁,石桥口,14路,1,顺河回族区
石桥口,曹门,14路,1,顺河回族区
曹门,新曹路·劳动路,14路,1,顺河回族区
新曹路·劳动路,新曹路·轴承厂,14路,1,顺河回族区
新曹路·轴承厂,东苑小区北门,14路,1,顺河回族区
东苑小区北门,鲁屯,14路,1,顺河回族区
鲁屯,李长庄,14路,1,顺河回族区
李长庄,小罗庄,14路,1,顺河回族区
小罗庄,火电厂,14路,1,顺河回族区
,,,,
汪屯桥,汪屯乡政府,15路,1,祥符区
汪屯乡政府,屠府坟,15路,1,禹王台区
屠府坟,大堤,15路,1,禹王台区
大堤,招呼站,15路,1,禹王台区
招呼站,杨正门,15路,1,禹王台区
杨正门,95900部队,15路,1,禹王台区
95900部队,南苑小区,15路,1,禹王台区
南苑小区,豆腐营,15路,1,禹王台区
豆腐营,蔬菜批发市场,15路,1,禹王台区
蔬菜批发市场,药厂,15路,1,禹王台区
药厂,禹王台西门,15路,1,禹王台区
禹王台西门,钢材市场,15路,1,禹王台区
钢材市场,农机岗,15路,1,禹王台区
农机岗,宋门外,15路,1,顺河回族区
宋门外,公园路·汴京路,15路,1,顺河回族区
公园路·汴京路,汴京公园,15路,1,顺河回族区
汴京公园,汴京桥,15路,1,顺河回族区
汴京桥,学院门,15路,1,顺河回族区
学院门,鼓楼广场,15路,1,鼓楼区
鼓楼广场,新街口·兴盛德花生老店,15路,1,鼓楼区
新街口·兴盛德花生老店,龙亭公园,15路,1,龙亭区
龙亭公园,法院街东口·兴盛德驿站店,15路,1,龙亭区
法院街东口·兴盛德驿站店,清明上河园,15路,1,龙亭区
清明上河园,天波杨府·公交三公司,15路,1,龙亭区
,,,,
河南应用职业技术学院,河南化工技师学院,16路,1,龙亭区
河南化工技师学院,东京大道·六大街,16路,1,龙亭区
东京大道·六大街,河南医药健康技师学院,16路,1,龙亭区
河南医药健康技师学院,开封技师学院,16路,1,龙亭区
开封技师学院,东京大道·三大街,16路,1,龙亭区
东京大道·三大街,东京大道·二大街,16路,1,龙亭区
东京大道·二大街,东京大道·一大街,16路,1,龙亭区
东京大道·一大街,东京大桥,16路,1,龙亭区
东京大桥,河大新校区西门,16路,1,龙亭区
河大新校区西门,河大新校区小西门,16路,1,龙亭区
河大新校区小西门,省税校,16路,1,龙亭区
省税校,市政协,16路,1,龙亭区
市政协,金明广场·中原银行开封分行,16路,1,龙亭区
金明广场·中原银行开封分行,市发改委,16路,1,龙亭区
市发改委,晋安路·金明东街,16路,1,龙亭区
晋安路·金明东街,市委·市政府,16路,1,龙亭区
市委·市政府,北正门,16路,1,龙亭区
北正门,马市街村委会,16路,1,龙亭区
马市街村委会,晋安路·黄河大道,16路,1,龙亭区
晋安路·黄河大道,马市一街,16路,1,龙亭区
马市一街,包公祠,16路,1,龙亭区
